Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
301.6224,93.35553,1.517161,0.67707,0.681376,0.656424,0.655958,0.658411,1505.255
295.8312,96.23297,1.571841,0.687386,0.708337,0.656451,0.65481,0.654316,1553.871
292.4784,78.54565,1.508438,0.666519,0.679151,0.656627,0.659479,0.665331,1511.656
297.66,90.70624,1.555936,0.674794,0.694125,0.656706,0.654848,0.655244,1458.804
300.2508,92.17751,1.5711,0.670402,0.695879,0.656732,0.655856,0.656503,1474.395
295.9836,97.52195,1.571994,0.681346,0.699206,0.657197,0.658442,0.664333,1548.716
300.0984,90.40752,1.573482,0.675475,0.688795,0.657368,0.657042,0.656036,1485.83
298.422,91.55347,1.564328,0.670848,0.685952,0.657483,0.658179,0.658313,1515.376
297.8124,93.87071,1.544337,0.678261,0.685807,0.657702,0.656097,0.654615,1457.847
299.946,93.58537,1.576389,0.675605,0.69653,0.65816,0.658473,0.660147,1502.023
288.2112,96.64548,1.577132,0.685661,0.705842,0.658334,0.660072,0.659537,1517.41
291.7164,95.89539,1.649212,0.674996,0.692686,0.658433,0.663813,0.662868,1582.499
298.2696,94.28808,1.560056,0.671464,0.687152,0.658934,0.660604,0.660772,1516.453
299.184,92.78439,1.547281,0.670546,0.693077,0.65905,0.659109,0.666035,1493.011
298.1172,83.95136,1.548624,0.675855,0.690858,0.659168,0.658267,0.653835,1496.44
293.85,96.46823,1.643078,0.682814,0.701436,0.659272,0.661656,0.664026,1570.236
288.3636,95.87646,1.598161,0.686496,0.703012,0.6593,0.660263,0.657768,1525.836
192.1972,85.90447,1.652106,1.20012,1.245553,0.65956,0.692677,0.711118,1606.397
114.112,85.90447,1.652106,1.20012,1.245553,0.65956,0.692677,0.711118,1606.397
299.7936,90.04468,1.575612,0.67761,0.695687,0.659741,0.660704,0.662952,1506.537
288.8208,85.83318,1.580183,0.677248,0.69743,0.659895,0.659176,0.657987,1545.009
299.6412,88.63983,1.569193,0.682537,0.688548,0.660072,0.659656,0.660088,1500.154
299.3364,91.70305,1.544853,0.677147,0.683767,0.660109,0.660903,0.667196,1490.04
236.5456,89.53467,1.915789,1.061561,1.27962,0.660129,0.677173,0.683743,1585.016
114.112,89.53467,1.915789,1.061561,1.27962,0.660129,0.677173,0.683743,1585.016
297.9648,92.34788,1.540464,0.676023,0.686812,0.660234,0.658679,0.65979,1464.946
299.4888,89.0432,1.553185,0.682319,0.683757,0.660768,0.661335,0.662438,1492.489
290.802,87.96326,1.638343,0.688436,0.69893,0.660856,0.663338,0.664766,1610.832
288.516,98.00737,1.590321,0.683216,0.698818,0.660946,0.660695,0.662381,1536.082
293.3928,93.97781,1.576145,0.678932,0.701197,0.661422,0.659549,0.66238,1569.742
288.6684,87.13461,1.584847,0.676481,0.69241,0.66245,0.662273,0.664016,1542.968
281.9628,91.61338,1.580041,0.69253,0.720384,0.662833,0.665538,0.669068,1525.823
281.8104,92.25021,1.588113,0.699664,0.715147,0.66515,0.666811,0.670777,1528.473
297.5076,91.06015,1.553657,0.672795,0.686792,0.665581,0.665704,0.666042,1453.599
188.2348,87.0808,1.493987,1.204841,1.277717,0.665835,0.726146,0.761484,1582.713
114.112,87.0808,1.493987,1.204841,1.277717,0.665835,0.726146,0.761484,1582.713
289.7352,91.86512,1.556025,0.684698,0.701373,0.666427,0.669944,0.668174,1553.042
289.8876,90.97966,1.588934,0.684916,0.699821,0.666623,0.671314,0.669237,1567.342
281.658,95.79782,1.616342,0.696611,0.722602,0.666988,0.666951,0.66696,1534.025
282.1152,93.73946,1.57391,0.697622,0.713451,0.667062,0.67049,0.669535,1524.391
281.5056,95.52379,1.650204,0.699467,0.724114,0.667198,0.667778,0.667818,1541.438
297.3552,95.82568,1.550458,0.674158,0.685445,0.667491,0.668219,0.671589,1453.282
293.6976,91.82803,1.619965,0.682191,0.701095,0.667715,0.666656,0.672945,1579.845
288.0588,85.89249,1.562352,0.689918,0.706178,0.667944,0.66922,0.667954,1516.355
290.04,92.99067,1.592666,0.686411,0.692608,0.66798,0.67154,0.672002,1579.57
284.8584,95.51843,1.639717,0.704754,0.721619,0.668416,0.667904,0.66612,1552.908
293.5452,89.51788,1.60197,0.68278,0.696153,0.668606,0.667813,0.669034,1584.445
282.5724,92.00279,1.578573,0.697461,0.716043,0.669028,0.669542,0.667075,1520.825
287.9064,83.66955,1.592497,0.68585,0.709554,0.669094,0.668527,0.665808,1522.887
282.42,83.779,1.565514,0.698995,0.714815,0.669129,0.670472,0.669889,1520.385
282.8772,91.33673,1.583273,0.695338,0.713869,0.669258,0.67096,0.668349,1522.261
285.0108,91.96857,1.631847,0.699565,0.718482,0.670095,0.670353,0.669317,1556.133
282.2676,89.79992,1.570047,0.696148,0.722991,0.670535,0.672886,0.669749,1521.915
290.1924,92.42506,1.587711,0.684945,0.712929,0.670949,0.671915,0.673668,1587.282
287.2968,96.07783,1.638031,0.701956,0.716414,0.671287,0.670016,0.668655,1561.494
287.1444,100.7716,1.636207,0.696849,0.726882,0.671293,0.671042,0.670436,1566.724
282.7248,96.50331,1.579775,0.69584,0.709167,0.671369,0.670739,0.669733,1521.326
284.706,96.29467,1.653166,0.701279,0.725029,0.671389,0.674259,0.670613,1550.009
287.4492,101.0337,1.632111,0.696052,0.716726,0.671451,0.671554,0.668777,1553.3
283.182,95.37228,1.596784,0.695815,0.720475,0.673045,0.675277,0.672476,1532.727
283.0296,93.36075,1.584779,0.695036,0.70491,0.67309,0.67555,0.673112,1525.539
301.7748,90.77621,1.544819,0.680558,0.697799,0.673416,0.674431,0.676766,1514.848
283.3344,96.73642,1.603024,0.692972,0.719708,0.673969,0.67646,0.676021,1542.097
287.754,92.98805,1.615006,0.693211,0.71385,0.674716,0.673942,0.671574,1533.572
283.4868,92.55711,1.604831,0.691471,0.724532,0.67522,0.676453,0.680305,1548.461
281.3532,104.3367,1.672175,0.704665,0.731132,0.675714,0.679754,0.680574,1548.158
287.6016,95.90445,1.630564,0.696134,0.71171,0.676009,0.675722,0.675745,1544.217
151.8112,86.00976,1.582261,1.074148,1.105313,0.677596,0.701216,0.713642,1493.823
