Depth (mbsf),GR,RHOB,RES,Vp
49.6824,77.42445,1.776326,1.680734,1568.086
49.8348,78.77095,1.826324,1.524251,1571.212
49.9872,72.95592,1.866848,1.393173,1568.086
50.1396,68.75096,1.861802,1.383077,1560.323
50.292,67.25024,1.843295,1.373054,1557.239
50.4444,69.35663,1.835476,1.382753,1551.108
50.5968,70.10891,1.855513,1.398297,1554.167
50.7492,72.82088,1.842591,1.41073,1551.108
50.9016,74.77681,1.848106,1.423386,1554.167
51.054,73.4227,1.825334,1.420805,1560.323
51.2064,67.55491,1.846267,1.383805,1568.086
51.3588,66.94967,1.872921,1.394991,1563.418
51.5112,65.96831,1.873354,1.440762,1557.239
51.6636,65.51694,1.866291,1.489612,1557.239
51.816,62.71184,1.863352,1.54892,1560.323
51.9684,65.87097,1.860787,1.618166,1554.167
52.1208,67.7701,1.861395,1.580447,1560.323
52.2732,67.939,1.84883,1.544697,1560.323
52.4256,71.02718,1.847195,1.36688,1557.239
52.578,73.48055,1.848018,1.226133,1548.061
52.7304,74.31128,1.822904,1.320637,1551.108
52.8828,73.62641,1.835828,1.447014,1551.108
53.0352,72.8815,1.837701,1.509639,1554.167
53.1876,74.67579,1.871923,1.484344,1551.108
53.34,70.9222,1.878007,1.459892,1554.167
53.4924,71.00082,1.873697,1.477974,1563.418
53.6448,71.76768,1.887174,1.488531,1568.086
53.7972,72.21906,1.891407,1.453808,1563.418
53.9496,71.91814,1.929684,1.448382,1560.323
54.102,66.04433,1.93106,1.436389,1554.167
54.2544,66.57092,1.896287,1.421142,1548.061
54.4068,65.06636,1.862922,1.336328,1546.542
54.5592,66.42043,1.860816,1.29055,1543.512
54.7116,67.47017,1.86194,1.324193,1546.542
54.864,66.94357,1.851659,1.36091,1563.418
55.0164,69.50737,1.841912,1.397448,1574.352
55.1688,68.30016,1.866037,1.379326,1577.503
55.3212,67.54443,1.927997,1.331185,1574.352
55.4736,68.74809,1.919968,1.34157,1571.212
55.626,66.79919,1.947331,1.298173,1560.323
55.7784,70.25949,1.869024,1.350988,1563.418
55.9308,69.34998,1.885277,1.372859,1560.323
56.0832,71.90774,1.85826,1.45684,1554.167
56.2356,70.40681,1.885482,1.414198,1560.323
56.388,70.70765,1.880316,1.495782,1577.503
56.5404,70.47856,1.895164,1.445432,1574.352
56.6928,68.52263,1.88454,1.433274,1568.086
56.8452,67.32582,1.861357,1.567067,1563.418
56.9976,67.99928,1.835806,1.663148,1560.323
57.15,69.79152,1.843344,1.491466,1554.167
57.3024,70.84131,1.861673,1.537148,1554.167
57.4548,70.77309,1.875163,1.444226,1560.323
57.6072,71.46004,1.873435,1.379655,1563.418
57.7596,70.29741,1.861485,1.412144,1560.323
57.912,67.90645,1.852287,1.379145,1560.323
58.0644,66.53059,1.825892,1.415119,1571.212
58.2168,66.03268,1.833752,1.440726,1571.212
58.3692,64.73746,1.836126,1.43104,1571.212
58.5216,65.79066,1.856326,1.429977,1568.086
58.674,66.02526,1.8858,1.405651,1574.352
58.8264,68.57632,1.878982,1.412626,1574.352
58.9788,68.07177,1.889838,1.418829,1574.352
59.1312,67.01857,1.876317,1.407283,1574.352
59.2836,68.97033,1.898507,1.468646,1574.352
59.436,66.93898,1.890841,1.486855,1577.503
59.5884,69.27106,1.89901,1.444448,1577.503
59.7408,67.17553,1.902309,1.497558,1577.503
59.8932,67.85242,1.888096,1.472782,1571.212
60.0456,66.99986,1.873657,1.432364,1571.212
60.198,65.64336,1.855108,1.41284,1571.212
60.3504,67.8033,1.855187,1.395427,1574.352
60.5028,67.78899,1.86718,1.455538,1577.503
60.6552,70.90078,1.88002,1.44457,1577.503
60.8076,68.6628,1.897848,1.486606,1580.668
60.96,66.58974,1.888211,1.53426,1580.668
61.1124,63.98184,1.900637,1.546999,1585.438
61.2648,68.1969,1.883925,1.5715,1588.635
61.4172,69.62907,1.8898,1.612751,1591.844
61.5696,69.05843,1.894875,1.633435,1591.844
61.722,68.68223,1.922223,1.754845,1598.302
61.8744,70.49091,1.928017,1.703513,1603.18
62.0268,71.23708,1.929412,1.822569,1603.18
62.1792,66.46259,1.925175,1.549042,1591.844
62.3316,64.4565,1.931985,1.490312,1585.438
62.484,62.35012,1.918755,1.483518,1585.438
62.6364,65.17268,1.911431,1.460686,1585.438
62.7888,68.23196,1.909174,1.443148,1585.438
62.9412,71.46677,1.903931,1.498037,1580.668
63.0936,73.64839,1.907786,1.499089,1577.503
63.246,74.91984,1.915083,1.47335,1577.503
63.3984,75.31886,1.920461,1.541298,1580.668
63.5508,73.93967,1.899923,1.469799,1580.668
63.7032,70.61198,1.900762,1.471954,1580.668
63.8556,69.96003,1.897344,1.56264,1580.668
64.008,69.75706,1.909631,1.438786,1580.668
64.1604,69.65676,1.909352,1.431788,1580.668
64.3128,70.75993,1.909345,1.646593,1585.438
64.4652,70.15808,1.914126,1.773221,1588.635
64.6176,72.75848,1.902471,1.785601,1591.844
64.77,70.02753,1.902867,1.804039,1588.635
64.9224,69.62871,1.883554,1.801225,1591.844
65.0748,64.5176,1.887422,1.713533,1598.302
65.2272,65.34185,1.90262,1.425442,1595.067
65.3796,66.87151,1.914087,1.503618,1598.302
65.532,70.93692,1.920743,1.516637,1595.067
65.6844,70.93666,1.908883,1.581906,1591.844
65.8368,69.45718,1.904688,1.704184,1595.067
65.9892,67.35078,1.908109,1.793108,1595.067
66.1416,67.05025,1.909563,1.658448,1591.844
66.294,66.34138,1.922327,1.538414,1588.635
66.4464,68.37254,1.937325,1.549258,1588.635
66.5988,70.7796,1.939324,1.579936,1601.551
66.7512,72.09028,1.946234,1.693462,1603.18
66.9036,70.15698,1.91785,2.024347,1598.302
67.056,69.03194,1.909566,2.066846,1606.448
67.2084,70.48397,1.918531,1.872237,1598.302
67.3608,73.74359,1.920537,1.604302,1595.067
67.5132,74.71481,1.937386,1.496326,1598.302
67.6656,76.82117,1.951302,1.500156,1598.302
67.818,74.43155,1.953629,1.407867,1603.18
67.9704,74.81445,1.952708,1.422587,1599.925
68.1228,71.95818,1.949241,1.467107,1595.067
68.2752,73.69855,1.943225,1.545065,1580.668
68.4276,72.34444,1.963283,1.48146,1571.212
68.58,73.13684,1.931191,1.485575,1571.212
68.7324,71.85447,1.922464,1.513146,1568.086
68.8848,71.9297,1.885619,1.524965,1574.352
69.0372,70.38276,1.897281,1.532856,1574.352
69.1896,71.8891,1.907154,1.564318,1577.503
69.342,75.34959,1.911481,1.596264,1571.212
69.4944,75.90351,1.88708,1.59434,1571.212
69.6468,76.98351,1.876326,1.573269,1574.352
69.7992,75.85508,1.89849,1.555839,1577.503
69.9516,74.57297,1.924679,1.480792,1585.438
70.104,72.03513,1.924679,1.44791,1580.668
70.2564,71.10524,1.924679,1.35048,1577.503
70.4088,71.03325,1.924679,1.599485,1571.212
70.5612,70.76256,1.918833,1.692415,1577.503
70.7136,70.30897,1.92325,1.714382,1591.844
70.866,71.06125,1.93305,1.647139,1591.844
71.0184,71.06125,1.886529,1.853087,1591.844
71.1708,69.96221,1.881162,1.823344,1591.844
71.3232,69.96221,1.887998,1.566525,1588.635
71.4756,69.96221,1.911001,1.454717,1591.844
71.628,70.63926,1.926589,1.443178,1598.302
71.7804,70.11266,1.927195,1.454679,1598.302
71.9328,70.91091,1.889936,1.457035,1595.067
72.0852,72.02678,1.889847,1.533224,1591.844
72.2376,74.3463,1.888863,1.480021,1585.438
72.39,72.64531,1.900303,1.620914,1585.438
72.5424,70.30073,1.904267,1.737658,1588.635
72.6948,67.30149,1.928369,1.622709,1588.635
72.8472,66.09254,1.94541,1.541696,1588.635
72.9996,64.53252,1.965981,1.488438,1591.844
73.152,65.137,1.964621,1.414372,1595.067
73.3044,68.82849,1.953279,1.417297,1603.18
73.4568,69.73488,1.949423,1.460128,1603.18
73.6092,67.77895,1.933665,1.482386,1595.067
73.7616,66.12393,1.919142,1.488959,1595.067
73.914,66.27604,1.922816,1.427942,1588.635
74.0664,71.0154,1.907447,1.381631,1582.255
74.2188,73.04657,1.889389,1.320341,1583.845
74.3712,73.34748,1.865751,1.257272,1583.845
74.5236,71.5557,1.861938,1.428396,1580.668
74.676,73.28595,1.83257,2.064295,1574.352
74.8284,75.38617,1.832118,1.702937,1568.086
74.9808,76.34428,1.829614,1.318929,1563.418
75.1332,70.94151,1.836046,1.30978,1563.418
75.2856,71.84814,1.868948,1.4165,1568.086
75.438,72.30568,1.873946,1.400065,1571.212
75.5904,75.82773,1.893375,1.37494,1563.418
75.7428,73.87408,1.840946,1.359212,1560.323
75.8952,70.79289,1.858705,1.43585,1546.542
76.0476,69.66447,1.8897,1.613964,1543.512
76.2,67.85354,1.886354,1.663179,1543.512
76.3524,67.61924,1.883291,1.573077,1560.323
76.5048,69.19903,1.819973,1.327073,1563.418
76.6572,71.50563,1.834451,1.327289,1563.418
76.8096,76.46944,1.841842,1.316771,1563.418
76.962,77.6664,1.893993,1.293278,1563.418
77.1144,78.22393,1.887731,1.43873,1560.323
77.2668,74.69221,1.878962,1.941695,1554.167
77.4192,70.48048,1.858429,1.896454,1551.108
77.5716,65.96175,1.856499,1.502094,1557.239
77.724,65.58829,1.868411,1.488367,1560.323
77.8764,68.18179,1.884443,1.687107,1571.212
78.0288,78.56068,1.888032,1.410804,1571.212
78.1812,78.71114,1.879534,1.335804,1571.212
78.3336,77.17648,1.862121,1.299196,1571.212
78.486,72.59204,1.862121,1.337261,1571.212
78.6384,74.84257,1.86704,1.34819,1563.418
78.7908,75.29393,1.862096,1.628106,1560.323
78.9432,72.66411,1.857617,1.661105,1563.418
79.0956,71.21602,1.845268,1.409196,1568.086
79.248,71.81784,1.862057,1.419035,1566.527
79.4004,73.17194,1.879654,1.434424,1560.323
79.5528,74.02452,1.897949,1.375706,1566.527
79.7052,74.02452,1.900273,1.377766,1568.086
79.8576,76.28137,1.894689,1.392918,1568.086
80.01,75.3727,1.890237,1.397418,1568.086
80.1624,74.46402,1.897964,1.399496,1560.323
80.3148,72.65854,1.912425,1.390433,1557.239
80.4672,74.77087,1.922915,1.420844,1560.323
80.6196,75.17402,1.919446,1.547883,1560.323
80.772,72.30978,1.917576,1.415418,1566.527
80.9244,68.69326,1.891823,1.385224,1568.086
81.0768,68.37128,1.90607,1.375944,1568.086
81.2292,70.15985,1.927849,1.351573,1571.212
81.3816,71.74521,1.92845,1.356648,1571.212
81.534,71.51952,1.930003,1.351841,1568.086
81.6864,73.04658,1.885988,1.393389,1571.212
81.8388,72.68988,1.885592,1.344148,1574.352
81.9912,73.79322,1.916704,1.320127,1574.352
82.1436,72.43912,1.89549,1.351717,1574.352
82.296,73.17194,1.905808,1.380499,1571.212
82.4484,71.31632,1.902124,1.38072,1571.212
82.6008,68.00628,1.905798,1.452181,1571.212
82.7532,68.25308,1.945836,1.930241,1568.086
82.9056,68.69862,1.931108,1.777343,1571.212
83.058,71.1001,1.906786,1.559142,1574.352
83.2104,68.06985,1.895813,1.571332,1574.352
83.3628,67.82493,1.893388,1.54041,1577.503
83.5152,67.42953,1.893388,1.444572,1577.503
83.6676,69.91205,1.892304,1.47198,1580.668
83.82,65.64913,1.897685,1.522214,1585.438
83.9724,64.44548,1.910755,1.496378,1595.067
84.1248,64.46112,1.885142,1.577523,1591.844
84.2772,67.91904,1.900695,1.712567,1585.438
84.4296,70.12573,1.904451,1.825928,1580.668
84.582,70.11009,1.898836,1.798381,1580.668
84.7344,70.71449,1.889388,2.047864,1580.668
84.8868,71.54201,1.878103,2.446657,1577.503
85.0392,72.29996,1.881914,2.149341,1577.503
85.1916,75.23058,1.875409,1.308574,1577.503
85.344,74.70398,1.895559,1.265623,1577.503
85.4964,76.61489,1.903523,1.332481,1585.438
85.6488,75.13656,1.948123,1.516939,1591.844
85.8012,76.33386,1.918041,2.007804,1591.844
85.9536,75.1632,1.910911,2.136971,1588.635
86.106,74.16228,1.886964,2.371443,1580.668
86.2584,71.90548,1.89695,1.788491,1580.668
86.4108,70.20269,1.903471,1.522483,1585.438
86.5632,71.09937,1.897907,1.495655,1588.635
86.7156,72.15282,1.908574,1.455171,1591.844
86.868,71.98125,1.925183,1.452333,1591.844
87.0204,71.23185,1.939261,1.405735,1591.844
87.1728,69.58016,1.938798,1.37763,1585.438
87.3252,69.04782,1.928502,1.367654,1580.668
87.4776,68.59386,1.920174,1.316556,1580.668
87.63,70.25161,1.924207,1.458985,1580.668
87.7824,68.54835,1.909347,1.622504,1580.668
87.9348,69.85387,1.910311,1.676239,1580.668
88.0872,68.64729,1.908084,1.857079,1585.438
88.2396,69.90495,1.903492,1.601723,1585.438
88.392,68.1538,1.895566,1.496864,1580.668
88.5444,70.86495,1.900028,1.466061,1577.503
88.6968,72.67043,1.908877,1.393381,1577.503
88.8492,74.66792,1.912491,1.397762,1583.845
89.0016,73.83752,1.907533,1.468594,1585.438
89.154,73.83752,1.892413,1.34074,1591.844
89.3064,71.2006,1.891892,1.207533,1595.067
89.4588,69.19645,1.896757,1.40401,1595.067
89.6112,65.88641,1.901259,1.383752,1591.844
89.7636,66.87012,1.911883,1.423173,1591.844
89.916,67.5948,1.910358,1.43898,1588.635
90.0684,69.16785,1.928432,1.440819,1585.438
90.2208,70.3999,1.907422,1.40638,1582.255
90.3732,72.11859,1.919141,1.374469,1588.635
90.5256,73.85302,1.923693,1.369471,1598.302
90.678,75.9594,1.95428,1.382359,1588.635
90.8304,74.17989,1.943886,1.336286,1591.844
90.9828,74.3067,1.937991,1.372234,1595.067
91.1352,74.08089,1.923734,1.389469,1591.844
91.2876,74.06657,1.920278,1.385598,1577.503
91.44,74.76982,1.918271,1.336438,1577.503
91.5924,71.98667,1.929373,1.440086,1591.844
91.7448,71.15546,1.944409,1.477659,1591.844
91.8972,68.06679,1.940105,1.823119,1591.844
92.0496,70.62785,1.932124,1.75689,1591.844
92.202,69.72787,1.928174,1.725617,1591.844
92.3544,69.27866,1.943321,1.602749,1591.844
92.5068,66.64233,1.946125,1.446185,1588.635
92.6592,70.00685,1.942861,1.332643,1591.844
92.8116,73.24383,1.939216,1.347701,1595.067
92.964,71.84291,1.941725,1.340398,1595.067
93.1164,69.38237,1.943534,1.630913,1591.844
93.2688,67.87456,1.93793,2.106432,1588.635
93.4212,71.12777,1.926705,2.02298,1588.635
93.5736,73.01156,1.934211,1.86921,1580.668
93.726,73.16222,1.922205,1.531517,1580.668
93.8784,72.96828,1.933172,1.462158,1585.438
94.0308,71.68941,1.933334,1.465034,1591.844
94.1832,71.81784,1.944889,1.666392,1591.844
94.3356,67.254,1.942197,1.743746,1591.844
94.488,66.49864,1.933056,1.720067,1588.635
94.6404,68.02828,1.919757,1.697771,1585.438
94.7928,72.062,1.927375,1.710461,1580.668
94.9452,70.62955,1.908167,1.727333,1580.668
95.0976,68.69407,1.928232,1.734073,1577.503
95.25,67.76756,1.934457,1.716369,1585.438
95.4024,71.86115,1.929052,1.357446,1585.438
95.5548,73.36588,1.918165,1.427089,1580.668
95.7072,72.78769,1.893361,1.368567,1577.503
95.8596,67.97098,1.897573,1.37834,1574.352
96.012,66.7467,1.896612,1.376113,1577.503
96.1644,65.77015,1.907205,1.404158,1577.503
96.3168,64.61495,1.912173,1.514088,1580.668
96.4692,61.93181,1.916573,1.507802,1585.438
96.6216,63.99031,1.928536,1.565869,1585.438
96.774,66.85278,1.920159,1.62273,1585.438
96.9264,66.75247,1.907713,1.570469,1577.503
97.0788,64.49354,1.898168,1.387818,1577.503
97.2312,63.92616,1.900028,1.350747,1577.503
97.3836,69.78624,1.906606,1.354204,1574.352
97.536,72.843,1.907067,1.31887,1574.352
97.6884,73.25992,1.920137,1.318996,1580.668
97.8408,70.93397,1.914747,1.334579,1577.503
97.9932,71.23949,1.917608,1.370271,1585.438
98.1456,73.79725,1.926697,1.394186,1582.255
98.298,71.96609,1.937439,1.35671,1595.067
98.4504,69.85278,1.9492,1.328837,1591.844
98.6028,67.82162,1.928389,1.296651,1591.844
98.7552,68.62173,1.930968,1.35498,1588.635
98.9076,66.74794,1.923653,1.385353,1588.635
99.06,67.27095,1.931724,1.524284,1588.635
99.2124,66.41964,1.928409,1.77958,1585.438
99.3648,68.54655,1.911802,1.627118,1591.844
99.5172,69.52811,1.916425,1.609043,1591.844
99.6696,67.83408,1.918051,1.662892,1595.067
99.822,66.03315,1.94898,1.66084,1595.067
99.9744,65.25361,1.959185,1.60452,1595.067
100.1268,67.10136,1.968763,1.565303,1595.067
100.2792,68.65607,1.975047,1.52928,1595.067
100.4316,68.90575,1.960863,1.544805,1588.635
100.584,68.45229,1.944706,1.54152,1598.302
100.7364,67.54955,1.932143,1.618738,1595.067
100.8888,66.34693,1.933866,1.601738,1591.844
101.0412,68.60247,1.906674,1.444167,1588.635
101.1936,71.1532,1.897264,1.524991,1585.438
101.346,71.00497,1.902796,1.498433,1585.438
101.4984,69.70441,1.901644,0.933721,1580.668
101.6508,66.10049,1.906799,0.938983,1582.255
101.8032,66.79601,1.892332,1.334149,1580.668
101.9556,66.44495,1.90394,1.281199,1574.352
102.108,69.34958,1.888347,1.320161,1574.352
102.2604,66.92381,1.895667,1.299696,1571.212
102.4128,65.87061,1.903897,1.30161,1571.212
102.5652,64.21542,1.915071,1.284607,1568.086
102.7176,65.41584,1.910288,1.276146,1568.086
102.87,66.46903,1.871205,1.312921,1568.086
103.0224,64.36494,1.860962,1.339756,1568.086
103.1748,67.00117,1.855196,1.36451,1568.086
103.3272,65.87274,1.873036,1.350955,1568.086
103.4796,69.00517,1.875715,1.457662,1568.086
103.632,69.15562,1.874931,1.344401,1574.352
103.7844,69.38131,1.882236,1.332904,1585.438
103.9368,66.80263,1.886033,1.353367,1585.438
104.0892,63.33895,1.892237,1.697062,1588.635
104.2416,66.57376,1.872894,1.992856,1585.438
104.394,69.73335,1.854029,2.446665,1577.503
104.5464,70.78535,1.840819,1.777788,1568.086
104.6988,67.70099,1.835385,1.416144,1566.527
104.8512,63.3348,1.848724,1.533774,1560.323
105.0036,63.48742,1.849897,1.647412,1571.212
105.156,62.38229,1.859972,1.478435,1574.352
105.3084,65.74323,1.877928,1.514004,1574.352
105.4608,65.24185,1.889131,1.607088,1574.352
105.6132,64.14029,1.886719,1.554922,1571.212
105.7656,61.77904,1.858132,1.341026,1563.418
105.918,61.22944,1.853177,1.36065,1560.323
106.0704,61.83861,1.857391,1.296217,1563.418
106.2228,63.62163,1.861117,1.273252,1560.323
106.3752,64.82527,1.841794,1.299403,1554.167
106.5276,65.31747,1.827625,1.234339,1540.495
106.68,62.73622,1.803216,1.196452,1533.002
106.8324,58.73689,1.762059,1.194216,1530.025
106.9848,57.20491,1.726683,1.189011,1530.025
107.1372,57.68346,1.740237,1.163869,1530.025
107.2896,58.01974,1.730873,1.201075,1537.489
107.442,59.4534,1.740126,1.20566,1540.495
107.5944,61.25887,1.745685,1.246221,1543.512
107.7468,63.56782,1.759495,1.308021,1540.495
107.8992,64.01918,1.755038,1.370707,1540.495
108.0516,63.49043,1.740538,1.424872,1540.495
108.204,62.83641,1.739882,1.351291,1546.542
108.3564,61.59203,1.743707,1.350527,1546.542
108.5088,59.33542,1.751382,1.485466,1546.542
108.6612,60.43888,1.746217,1.397306,1549.583
108.8136,60.02824,1.762632,1.305091,1551.108
108.966,56.87058,1.781141,1.255645,1554.167
109.1184,54.41317,1.783626,1.260309,1554.167
109.2708,49.74902,1.770651,1.225184,1549.583
109.4232,52.60478,1.746016,1.228136,1546.542
109.5756,51.0743,1.737824,1.279122,1540.495
109.728,51.42387,1.731105,1.344568,1540.495
109.8804,48.897,1.725044,1.372817,1537.489
110.0328,49.1254,1.72836,1.245771,1537.489
110.1852,50.62827,1.737207,1.215868,1537.489
110.3376,50.19756,1.740465,1.162375,1540.495
110.49,53.20274,1.761757,1.14778,1540.495
110.6424,59.6254,1.764627,1.197763,1543.512
110.7948,67.70142,1.808116,1.199032,1554.167
110.9472,69.96221,1.818444,1.246665,1560.323
111.0996,70.55949,1.835232,1.20377,1551.108
