Depth (mbsf),GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
772.3632,87.99426,2.122275,1.621312,1.590045,1.538017,1.5219,1.507323,1896.421
772.5156,88.36522,2.108855,1.583094,1.582204,1.545031,1.516929,1.50766,1896.421
772.668,87.81617,2.109655,1.569872,1.564418,1.5354,1.508733,1.499072,1907.971
772.8204,86.31232,2.125191,1.531788,1.541728,1.523718,1.497168,1.493468,1914.867
772.9728,85.27399,2.123447,1.525191,1.541715,1.487007,1.471265,1.462415,1912.534
773.1252,87.45415,2.115061,1.525875,1.528302,1.441907,1.43697,1.427881,1918.358
773.2776,88.89117,2.108055,1.534583,1.532891,1.41232,1.401041,1.39191,1923.034
773.43,86.53783,2.111505,1.539912,1.523478,1.42989,1.4207,1.412713,1923.034
773.5824,87.54757,2.128599,1.549754,1.520407,1.462103,1.459075,1.461555,1923.034
773.7348,89.21962,2.141333,1.557083,1.528253,1.469695,1.477116,1.475164,1921.864
773.8872,89.13831,2.13892,1.552354,1.545555,1.471304,1.474595,1.477293,1917.188
774.0396,87.49887,2.1378,1.557723,1.560281,1.475077,1.479091,1.473114,1917.188
774.192,82.6314,2.133316,1.557774,1.575899,1.480099,1.482119,1.47972,1927.773
774.3444,86.43232,2.131058,1.578257,1.579491,1.481465,1.484288,1.479511,1940.807
774.4968,85.97461,2.136403,1.597265,1.589975,1.481464,1.484674,1.482227,1946.79
774.6492,86.74771,2.145504,1.609039,1.610528,1.49782,1.496657,1.501063,1947.992
774.8016,85.22884,2.138862,1.626089,1.631433,1.507283,1.508808,1.51264,1946.79
774.954,85.58595,2.128319,1.639817,1.639095,1.514417,1.516317,1.519532,1945.587
775.1064,86.21094,2.128992,1.645037,1.642328,1.520167,1.523714,1.523923,1933.724
775.2588,86.40987,2.134915,1.66068,1.654032,1.521095,1.52242,1.527904,1921.861
775.4112,84.13683,2.146545,1.657499,1.658475,1.514404,1.51435,1.517916,1921.861
775.5636,85.58112,2.134926,1.651427,1.665238,1.511867,1.512049,1.522507,1921.861
775.716,84.91082,2.134264,1.656489,1.661906,1.510209,1.513507,1.520859,1923.034
775.8684,84.65192,2.131983,1.658242,1.668764,1.498965,1.507072,1.511767,1927.745
776.0208,82.58624,2.137078,1.662218,1.661998,1.495664,1.500649,1.507282,1938.435
776.1732,82.95016,2.146232,1.659621,1.666859,1.505662,1.506551,1.514038,1946.79
776.3256,82.32613,2.131656,1.668336,1.66792,1.511796,1.515489,1.51792,1946.79
776.478,84.50096,2.120024,1.669929,1.667159,1.530477,1.532956,1.538075,1933.724
776.6304,83.67103,2.111364,1.676519,1.666917,1.547139,1.550142,1.55779,1926.571
776.7828,88.69647,2.124636,1.666541,1.671562,1.54434,1.548035,1.55704,1938.435
776.9352,90.17225,2.134448,1.667029,1.66784,1.539411,1.541602,1.55759,1945.587
777.0876,90.07402,2.132459,1.668675,1.67376,1.527238,1.531996,1.545115,1933.724
777.24,86.75737,2.126254,1.679824,1.684559,1.505977,1.517057,1.527517,1921.861
777.3924,84.18996,2.127599,1.684758,1.674798,1.50362,1.514812,1.524466,1921.861
777.5448,83.25372,2.127939,1.686724,1.687638,1.511231,1.517808,1.52536,1921.861
777.6972,85.83379,2.127168,1.675276,1.68015,1.521175,1.525596,1.527701,1924.21
777.8496,86.06699,2.129934,1.691494,1.705491,1.543615,1.546988,1.546306,1933.677
778.002,87.92702,2.149242,1.686597,1.714866,1.567206,1.566042,1.567245,1943.191
778.1544,88.55707,2.155462,1.675308,1.736787,1.579648,1.577065,1.581132,1945.587
778.3068,90.80511,2.154145,1.681435,1.760949,1.570588,1.571363,1.587069,1945.587
778.4592,89.87856,2.141072,1.701702,1.771663,1.544994,1.551897,1.578943,1951.022
778.6116,86.67107,2.143724,1.701911,1.793489,1.512794,1.520936,1.563572,1967.437
778.764,85.00773,2.14847,1.742964,1.81776,1.499729,1.516131,1.565483,1984.885
778.9164,83.09456,2.143081,1.784123,1.83791,1.498067,1.530685,1.579491,2000.668
779.0688,82.41648,2.145547,1.852793,1.848503,1.53283,1.576613,1.628177,2018.907
779.2212,79.84225,2.13813,1.906819,1.875518,1.608736,1.653531,1.710531,2036.916
779.3736,79.31916,2.160673,1.967515,1.896794,1.722146,1.777913,1.832222,2027.729
779.526,76.68058,2.144229,2.029685,1.906406,1.839069,1.933307,1.989466,1986.78
779.6784,76.93693,2.15555,2.04115,1.897428,2.007715,2.107785,2.176116,1954.095
779.8308,78.95653,2.162123,2.016172,1.90361,1.908776,2.03526,2.112967,1932.975
779.9832,83.56238,2.152442,1.973359,1.898659,1.788953,1.896546,1.973644,1923.034
780.1356,85.36562,2.146777,1.928628,1.867649,1.767492,1.839453,1.903628,1924.208
780.288,83.81487,2.129411,1.853598,1.838526,1.694458,1.730987,1.770838,1921.864
780.4404,84.28063,2.113996,1.798895,1.804262,1.581602,1.613836,1.637378,1917.188
780.5928,81.701,2.093056,1.755049,1.755175,1.509306,1.543507,1.565862,1905.638
780.7452,81.388,2.099349,1.693725,1.711608,1.467053,1.494423,1.514893,1896.421
780.8976,79.42331,2.094875,1.668202,1.70164,1.404673,1.416476,1.419917,1896.421
781.05,80.6683,2.098377,1.632175,1.659166,1.43068,1.435178,1.446136,1897.563
781.2024,83.25401,2.096617,1.619277,1.643809,1.478359,1.48324,1.487901,1896.424
781.3548,82.78555,2.107368,1.611936,1.62883,1.482069,1.493554,1.498764,1891.87
781.5072,82.26523,2.116689,1.611822,1.629211,1.470778,1.48107,1.487916,1891.87
781.6596,81.72549,2.109447,1.60469,1.622514,1.469196,1.469959,1.469654,1895.281
781.812,78.04922,2.112018,1.611799,1.62456,1.489591,1.488245,1.491594,1896.421
781.9644,76.08147,2.116196,1.618917,1.638141,1.505044,1.505078,1.513057,1896.421
782.1168,73.981,2.113222,1.621572,1.642767,1.508538,1.515698,1.530734,1896.421
782.2692,78.18013,2.114836,1.636196,1.647679,1.48715,1.499188,1.510904,1896.421
782.4216,80.76627,2.101191,1.641537,1.662147,1.489213,1.500773,1.50471,1896.421
782.574,83.77434,2.099864,1.667564,1.656815,1.489492,1.497532,1.497294,1909.141
782.7264,83.40921,2.100581,1.677945,1.677179,1.506443,1.50714,1.508739,1923.034
782.8788,83.2544,2.104572,1.700393,1.681958,1.546714,1.547312,1.550004,1925.384
783.0312,80.40542,2.096427,1.694805,1.69322,1.584583,1.58856,1.594587,1936.247
783.1836,81.12749,2.102481,1.704203,1.706508,1.611906,1.616803,1.628001,1940.231
783.336,84.13319,2.106283,1.702008,1.729191,1.590923,1.603818,1.609625,1928.888
783.4884,86.38136,2.100733,1.716408,1.747732,1.577669,1.583227,1.583266,1917.678
783.6408,89.49377,2.103029,1.719694,1.75949,1.570737,1.568969,1.574891,1910.966
783.7932,85.86675,2.094792,1.714124,1.768773,1.56278,1.558436,1.569384,1917.657
783.9456,84.39499,2.083307,1.737991,1.786262,1.573628,1.580726,1.602441,1933.45
784.098,80.13755,2.095777,1.758799,1.813144,1.579747,1.6057,1.626223,1949.506
784.2504,84.23046,2.09875,1.769605,1.819861,1.573965,1.606214,1.610623,1965.83
784.4028,85.16659,2.09992,1.809426,1.856844,1.575423,1.591886,1.580791,1982.025
784.5552,84.05169,2.110302,1.866132,1.909428,1.656041,1.644173,1.630429,1997.473
784.7076,80.9993,2.103303,1.907143,1.950946,1.840261,1.828689,1.826066,2010.313
784.86,80.06549,2.117059,1.930459,1.965732,1.980653,1.980351,2.008208,2012.871
785.0124,81.13997,2.129811,1.974683,2.025218,1.947278,1.966024,2.008582,2007.287
785.1648,80.98463,2.142967,2.006786,2.078695,1.916391,1.950863,2.004548,2001.734
785.3172,79.0679,2.13099,2.052956,2.117746,1.88305,1.953268,1.96067,2021.745
785.4696,77.04356,2.148582,2.15922,2.17356,1.861436,1.928235,1.891593,2073.924
785.622,73.72269,2.133907,2.231602,2.214725,1.930033,1.929905,1.902232,2130.289
785.7744,71.75754,2.116325,2.323217,2.263415,2.080288,2.014768,1.99742,2123.877
785.9268,69.06549,2.097683,2.378358,2.275495,2.360029,2.296863,2.316371,2054.962
786.0792,65.75652,2.070769,2.370085,2.274875,2.797878,2.800764,2.880105,1993.337
786.2316,66.06304,2.055448,2.370849,2.28397,2.487752,2.631297,2.703656,1942.474
786.384,70.82637,2.071118,2.401474,2.30775,2.120728,2.212047,2.24792,1926.088
786.5364,75.7992,2.088866,2.394825,2.297347,2.083221,2.093345,2.078137,1942.795
786.6888,77.04612,2.091423,2.392366,2.255221,2.087211,2.06764,2.041045,1943.139
786.8412,73.68516,2.077362,2.358733,2.225852,2.177094,2.136292,2.112065,1919.045
786.9936,73.47337,2.063663,2.303447,2.18867,2.29382,2.28458,2.290406,1887.331
787.146,74.66199,2.049059,2.224781,2.134376,2.153605,2.171965,2.199426,1871.766
787.2984,75.53522,2.065273,2.107231,2.069891,2.149032,2.155861,2.184093,1878.922
787.4508,78.07463,2.079166,2.006237,2.006275,1.88318,1.90027,1.918406,1883.315
787.6032,78.58979,2.090423,1.933302,1.953095,1.780273,1.78722,1.794748,1878.341
787.7556,79.05556,2.09975,1.870614,1.912324,1.669567,1.68006,1.683391,1872.764
787.908,81.38825,2.106009,1.821372,1.865415,1.562431,1.564352,1.566863,1869.426
788.0604,81.02534,2.106345,1.762222,1.815062,1.534934,1.539185,1.550957,1884.343
788.2128,83.46399,2.10904,1.737292,1.781155,1.531295,1.542733,1.555438,1902.984
788.3652,81.67356,2.090724,1.710178,1.758555,1.513745,1.526808,1.536438,1912.708
788.5176,83.69569,2.088335,1.706282,1.73087,1.509814,1.519444,1.525314,1921.773
788.67,84.6767,2.090216,1.70816,1.714129,1.54321,1.545336,1.54457,1924.837
788.8224,83.30845,2.095725,1.701052,1.713263,1.581315,1.5767,1.569424,1928.639
788.9748,81.4989,2.091807,1.733064,1.726417,1.593503,1.585506,1.582544,1943.062
789.1272,78.31961,2.099754,1.732123,1.722915,1.678001,1.67791,1.691161,1951.943
789.2796,80.07722,2.114117,1.747083,1.73208,1.664568,1.674737,1.691792,1936.137
789.432,80.80217,2.122187,1.747116,1.737779,1.643578,1.656277,1.671081,1908.406
789.5844,82.74156,2.122427,1.736333,1.730052,1.611076,1.63079,1.640152,1883.507
789.7368,82.06628,2.119713,1.749015,1.722125,1.57719,1.594438,1.597298,1897.34
789.8892,82.21654,2.103189,1.75075,1.734366,1.560876,1.575658,1.580616,1913.162
790.0416,82.31752,2.099314,1.74001,1.727419,1.565891,1.577825,1.588693,1894.851
790.194,83.99748,2.087242,1.737366,1.728106,1.566572,1.593451,1.606947,1876.887
790.3464,83.43046,2.075476,1.723059,1.715439,1.541711,1.563649,1.575496,1859.26
790.4988,82.81406,2.079946,1.714504,1.720924,1.560064,1.566753,1.573408,1857.096
790.6512,81.75794,2.086856,1.699799,1.720076,1.556065,1.55517,1.557059,1871.996
790.8036,79.11208,2.089568,1.691352,1.698741,1.554006,1.555942,1.554422,1892.877
