GR,Vp,RES,RHOB
74.02143,1919.061,1.821981,2.112639
74.62144,1900.145,1.712741,2.117471
76.72144,1871.635,1.695081,2.098875
74.55,1834.551,1.699376,2.080269
81.44183,1985.572,2.371778,2.113462
78.15,1986.681,2.291296,2.102363
75,1991.73,2.296504,2.081333
76.35,1996.611,2.322975,2.08788
75.89276,1991.077,2.293825,2.104822
78.43499,1980.548,2.303268,2.124043
78.88499,1975.652,2.352662,2.121899
77.83496,1972.314,2.312539,2.129056
76.33503,1971.824,2.26123,2.137803
71.38503,1971.642,2.161591,2.115436
73.34231,1982.982,2.196867,2.096634
72.3,1995.002,2.196268,2.093055
71.24999,2022.172,2.18695,2.115636
69.14999,2050.073,2.212575,2.119145
69.89629,2058.508,2.173392,2.118926
76.2713,2041.769,2.22677,2.120154
79.5713,2019.523,2.325512,2.120337
82.27096,2008.424,2.371763,2.105513
81.59595,1991.628,2.395374,2.08464
79.64597,1963.656,2.40135,2.069551
78.36763,1944.067,2.365827,2.072325
81.81763,1949.857,2.338841,2.080649
86.46763,1979.821,2.337415,2.101028
84.52121,1992.929,2.274854,2.094912
81.96363,1980.791,2.083071,2.098019
74.83514,1947.16,2.022763,2.087111
81.81393,1913.744,2.038088,2.097934
80.31776,1900.88,1.845649,2.102434
82.45991,1901.446,1.817276,2.098675
71.65337,1926.731,1.948741,2.093811
71.64993,1939.927,1.992408,2.09902
70.03628,1933.045,1.955699,2.093292
77.53729,1906.39,1.879204,2.082985
79.04449,1895.081,1.768853,2.073286
82.64449,1886.929,1.78667,2.083128
81.14585,1891.893,1.764603,2.09907
72.74585,1919.059,1.80349,2.097953
70.49203,1932.243,1.835558,2.08548
70.4172,1917.752,1.851989,2.091284
75.96719,1900.783,1.861995,2.087512
75.82102,1892.938,1.900504,2.101982
76.57499,1882.702,1.942942,2.087821
78.51735,1869.452,1.884364,2.089084
81.06735,1855.542,1.653103,2.080211
82.49236,1861.066,1.689482,2.083297
81.44291,1879.641,1.714267,2.08952
77.99291,1894.94,1.890365,2.086979
73.34291,1903.817,1.925084,2.083316
73.05,1913.299,1.855911,2.084125
76.8,1921.903,1.826441,2.098214
79.18463,1935.724,1.765221,2.107564
81.12713,1948.046,1.813518,2.109369
79.91962,1953.99,1.87323,2.090266
79.185,1965.314,1.880658,2.072151
81.5925,1975.393,1.840324,2.069063
79.19999,1976.557,1.815702,2.065475
80.25,1976.428,1.791664,2.063101
82.34167,1971.972,1.835575,2.042518
86.24168,1955.969,1.837304,2.042132
83.38815,1933.84,1.851845,2.033794
80.3886,1927.3,1.818585,2.031909
83.52993,1931.029,1.875819,2.028356
81.12701,1954.726,1.838678,2.03874
82.78488,1969.315,1.791918,2.06291
77.5362,1971.055,1.831063,2.09557
79.6287,1959.07,1.807063,2.10691
73.17203,1934.537,1.818675,2.084615
76.10437,1901.619,1.804951,2.046079
80.09332,1882.894,1.784599,2.036244
85.04208,1882.505,1.782214,2.058998
82.26709,1894.274,1.756523,2.075299
81.59208,1906.077,1.780495,2.078369
81.07104,1906.97,1.755282,2.066978
80.47104,1903.653,1.80961,2.076425
76.27103,1894.553,1.812662,2.065364
77.47499,1883.599,1.796649,2.05326
77.77499,1874.433,1.78518,2.045946
80.02499,1874.074,1.748206,2.058931
75.74999,1883.443,1.743733,2.068954
76.49249,1884.046,1.784698,2.064194
83.6925,1886.794,1.827072,2.072442
89.09249,1905.385,1.848032,2.081568
92.02499,1924.64,1.853606,2.085234
87.225,1951.609,1.822566,2.075113
83.175,1985.276,1.788735,2.075707
84.14999,2010.24,1.804512,2.068706
84.44999,2020.667,1.852051,2.064901
85.19276,2012.407,1.792632,2.053727
82.63905,1956.762,1.815972,2.062346
78.73233,1895.156,1.86574,2.0633
79.93957,1886.066,1.896944,2.070644
80.38564,1886.007,1.86603,2.078651
81.89234,1884.839,1.850667,2.085
80.52735,1877.391,1.812047,2.088248
80.52705,1862.666,1.797535,2.076438
82.61914,1869.303,1.795518,2.07082
85.48413,1891.882,1.768772,2.060321
86.60885,1896.546,1.773604,2.054275
85.41677,1891.542,1.777532,2.044278
82.26676,1886.324,1.780407,2.037437
81.675,1874.461,1.778914,2.037426
85.425,1870.246,1.805593,2.048511
86.62499,1877.595,1.82108,2.050947
84.74999,1903.186,1.851727,2.045568
82.49999,1907.828,1.819243,2.03464
84.74999,1902.596,1.800968,2.037471
86.85,1899.512,1.781725,2.044199
89.4,1899.353,1.861406,2.048541
86.77134,1926.689,1.923849,2.044528
89.1629,1958.423,1.821791,2.053605
86.38419,1973.862,1.805645,2.058947
87.65929,1978.07,1.84752,2.071039
83.01773,1970.743,1.805003,2.070446
81.66782,1965.967,1.743503,2.071574
79.57137,1952.836,1.776661,2.063883
79.78875,1937.002,1.768074,2.06284
80.60957,1925.974,1.744737,2.064049
81.88457,1895.635,1.724823,2.063857
78.6672,1887.735,1.803523,2.062554
76.125,1860.703,1.846781,2.064053
75.74999,1830.913,1.849947,2.064413
78.14257,1829.381,1.853949,2.061092
78.21362,1836.89,1.920915,2.057935
80.14735,1841.917,1.922786,2.060832
82.24682,1873.73,1.86017,2.069339
85.47578,1860.545,1.754528,2.069499
83.54205,1810.689,1.75242,2.064517
82.04242,1811.469,1.812683,2.04753
80.53481,1834.742,1.812852,2.043487
80.68481,1857.412,1.864639,2.040354
80.24238,1869.939,1.905704,2.044071
83.55,1876.879,1.886145,2.043357
84.3,1883.829,1.90328,2.05097
88.19999,1890.832,1.93149,2.061641
86.77499,1897.886,1.94403,2.06366
88.26675,1905.092,1.924127,2.061794
88.93771,1913.506,1.94779,2.057316
89.7627,1916.411,2.021628,2.057571
87.37095,1922.952,2.024595,2.056926
85.94205,1935.184,2.066102,2.065488
84.28417,1938.179,1.995762,2.067956
84.88416,1940.086,2.045792,2.069157
82.78822,1940.151,2.042995,2.064877
80.61377,1935.156,2.042689,2.061779
81.05585,1931.626,2.082241,2.06236
81.58093,1939.527,2.195715,2.06676
80.60617,1960.359,2.198318,2.075325
78.65666,1968.551,2.209702,2.093931
76.00803,2000.933,2.197449,2.113556
79.7571,2028.645,2.166825,2.132506
78.93952,2031.822,2.175706,2.124004
80.69198,2033.901,2.166122,2.112007
79.24234,2036.098,2.130186,2.107721
79.91734,2038.184,2.154884,2.105359
81.03972,2036.725,2.179957,2.1039
78.44285,2011.683,2.104121,2.093846
78.29285,1995.856,2.153498,2.103904
77.57546,1993.023,2.160385,2.106462
78.70499,1989.551,2.156811,2.108353
78.70499,1991.709,2.141948,2.097996
77.17499,1998.877,2.068612,2.103103
79.27106,1995.252,2.094326,2.116763
79.04223,1981.019,2.152947,2.110537
81.14223,1974.546,2.154613,2.099189
81.06307,1943.452,2.06805,2.071774
83.46294,1908.685,1.979145,2.059971
87.81293,1876.26,1.982543,2.036643
90.59193,1849.334,1.97018,2.03724
93.29156,1841.089,1.97219,2.033197
93.29156,1843.067,1.99811,2.038014
93.36215,1843.644,1.999481,2.026587
88.94149,1836.561,2.023438,2.030587
86.91648,1833.807,1.998097,2.020914
83.84615,1837.279,1.977381,2.020472
84.44616,1840.405,1.921446,2.020586
80.17115,1851.796,1.812034,2.029725
79.87499,1869.153,1.770045,2.039184
77.925,1879.339,1.7871,2.043045
78.44999,1895.472,1.812063,2.05682
76.125,1914.986,1.91291,2.076151
76.86768,1936.067,1.960919,2.096583
71.69269,1955.836,1.850294,2.121906
72.59269,1961.072,1.900554,2.121149
74.77499,1959.088,1.939709,2.120884
80.77499,1953.28,1.942021,2.109774
84.51675,1951.966,1.908278,2.118523
84.06281,1954.384,1.898976,2.112141
83.76281,1956.917,1.898753,2.110155
78.67106,1959.062,1.874547,2.101813
76.34283,1958.975,1.919067,2.099012
77.75983,1957.359,1.877518,2.081929
76.85983,1955.392,1.872746,2.079267
76.64199,1953.65,1.88781,2.075594
72.82499,1946.972,1.896399,2.091973
75.675,1937.136,1.910124,2.092106
77.1,1928.938,1.885393,2.105057
64.52912,1475.085,0.934327,1.764747
65.20412,1475.982,0.933853,1.759436
66.45,1474.416,0.922385,1.759436
62.25,1470.424,0.92433,1.762401
62.09999,1468.27,0.948593,1.793566
58.8,1466.354,0.918107,1.784474
61.4198,1464.942,0.921705,1.73138
59.9198,1464.804,0.912739,1.720208
61.56981,1467.276,0.929053,1.70925
61.2,1469.401,0.94198,1.705299
58.65,1467.463,0.933383,1.709818
59.4,1466.722,0.934875,1.7114
57.99698,1468.228,0.928675,1.747468
62.64135,1465.729,0.919823,1.764218
58.89135,1461.405,0.866003,1.73307
60.29437,1461.807,0.880346,1.670277
59.39999,1461.807,0.906478,1.650581
63.59999,1465.009,0.884078,1.662802
65.7,1471.452,0.922118,1.678724
65.8,1474.695,0.913646,1.682743
64.75,1468.223,0.925447,1.677915
60.25,1461.807,0.889123,1.68416
57.5,1461.807,0.900814,1.693491
58.28759,1474.695,0.979242,1.703881
65.63758,1477.953,0.98318,1.722389
69.33759,1477.953,0.971464,1.727187
69.89999,1470.039,0.960581,1.736644
67.24772,1468.915,0.942372,1.728666
62.97272,1468.942,0.992611,1.734511
64.39773,1470.265,0.989961,1.740562
60.825,1474.023,1.012765,1.752469
63.67179,1474.871,1.000754,1.754351
62.54024,1474.212,1.002267,1.760449
65.69024,1474.301,1.025778,1.77019
64.64063,1475.583,1.008338,1.783746
65.31864,1478.328,0.99,1.786116
63.96864,1478.931,1.022766,1.795125
67.03974,1478.093,1.028373,1.799102
65.99329,1477.782,1.010916,1.810033
67.4121,1478.191,1.023843,1.802745
65.91537,1479.613,1.005282,1.801524
66.74036,1481.061,0.994458,1.801574
65.77155,1481.734,1.020098,1.811374
61.72499,1481.636,1.024738,1.824351
59.175,1481.677,1.032119,1.825499
58.94381,1482.84,1.041406,1.831253
62.68755,1486.853,1.055328,1.833925
61.47631,1489.05,1.021963,1.841578
59.90749,1487.32,1.014251,1.846242
59.61375,1485.334,1.030129,1.830867
62.925,1482.771,1.017308,1.820547
65.85,1481.327,1.041769,1.797103
66.15,1480.8,1.035889,1.794562
64.5,1480.95,1.035085,1.789515
64.725,1482.01,1.061573,1.79359
64.71873,1484.177,1.082222,1.792872
64.26873,1484.298,1.09106,1.790359
62.99373,1484.358,1.114224,1.793669
64.2,1485.348,1.152896,1.789326
66.6,1486.936,1.187346,1.778398
63.21928,1492.105,1.140361,1.768129
60.06928,1495.894,1.180717,1.751526
60.96928,1492.884,1.171949,1.76039
63.3,1488.147,1.24743,1.759713
65.25,1493.607,1.271401,1.792513
62.4,1503.106,1.271771,1.780225
62.84389,1508.505,1.225045,1.807436
61.93785,1508.587,1.343737,1.785145
61.43785,1501.482,1.341919,1.815114
59.24205,1500.245,1.340841,1.796158
56.47007,1503.085,1.301879,1.806178
53.66737,1506.42,1.313412,1.795947
51.66928,1509.374,1.315133,1.794704
52.94104,1513.32,1.310291,1.788818
54.39166,1524.442,1.30247,1.786788
56.49166,1532.084,1.300586,1.770854
55.97292,1534.365,1.308165,1.787175
58.04999,1539.797,1.30831,1.786584
58.86542,1538.523,1.314693,1.81262
62.3834,1527.97,1.326342,1.819332
61.5584,1526.477,1.274817,1.858518
64.04299,1532.189,1.325112,1.867679
62.475,1531.663,1.323128,1.885575
64.125,1525.031,1.282841,1.868964
65.4714,1519.961,1.313909,1.881581
65.09017,1517.507,1.34232,1.877929
63.74017,1517.013,1.313263,1.880161
64.04377,1518.207,1.27592,1.886396
66.6,1519.716,1.271591,1.900728
70.12121,1520.685,1.304723,1.909884
64.41581,1521.839,1.3584,1.896364
62.01581,1523.112,1.222615,1.886317
61.04119,1522.865,1.124576,1.864916
62.99658,1522.443,1.142286,1.86197
65.53999,1521.431,1.100587,1.848242
61.8684,1520.813,1.21139,1.860618
63.81172,1522.524,1.249502,1.869765
60.36229,1522.389,1.099786,1.861871
60.43408,1520.232,1.140398,1.882499
63.29075,1517.686,1.115023,1.8846
66.29679,1516.006,1.232759,1.90086
69.07153,1519.801,1.253728,1.893752
66.22153,1525.365,1.261971,1.898715
62.77153,1533.825,1.165003,1.91652
63.3,1541.791,1.275165,1.926513
63.15,1550.246,1.305382,1.941022
67.49329,1558.473,1.312713,1.937614
67.04328,1560.281,1.265865,1.922621
68.23666,1560.388,1.278567,1.927236
67.48684,1559.546,1.260468,1.937676
69.0583,1558.024,1.231216,1.941871
70.11493,1558.565,1.296528,1.920596
74.17146,1558.465,1.30746,1.903306
75.89276,1558.477,1.318776,1.919892
76.78564,1560.812,1.321305,1.928176
71.91064,1563.006,1.277048,1.920019
67.86164,1564.307,1.255439,1.906569
66.06878,1563.572,1.272446,1.89891
67.04074,1563.072,1.25733,1.903167
65.24696,1563.198,1.27494,1.904551
65.2403,1562.146,1.236033,1.904287
66.73639,1561.047,1.249177,1.913484
69.43639,1561.685,1.29523,1.904807
69.59306,1562.949,1.308468,1.917438
66.24769,1564.185,1.303903,1.922529
64.74769,1564.429,1.294743,1.926749
61.89138,1565.862,1.310635,1.919087
63.29369,1567.887,1.307892,1.916997
65.9187,1569.177,1.320991,1.910609
68.1,1570.3,1.353891,1.920617
69.15,1570.203,1.369423,1.924767
70.71787,1570.311,1.340983,1.936426
71.39288,1572.085,1.302372,1.929843
72.44287,1573.371,1.341183,1.928423
70.05,1574.966,1.334446,1.925409
69.975,1576.534,1.378664,1.924469
72.52499,1576.858,1.379798,1.92235
70.56896,1577.398,1.361812,1.918649
70.04396,1576.622,1.354904,1.91566
67.04395,1576.726,1.325475,1.917243
70.27142,1577.618,1.303438,1.920503
70.27142,1578.037,1.286647,1.926519
70.26456,1577.941,1.338599,1.92297
70.03635,1577.709,1.336288,1.91724
69.13635,1577.033,1.331734,1.910757
69.36481,1576.013,1.367229,1.910112
65.61575,1575.56,1.449458,1.916064
68.68365,1576.135,1.489891,1.920755
68.01203,1579.754,1.486284,1.929178
71.31789,1584.389,1.433797,1.939574
68.55,1586.897,1.408796,1.954907
66.6,1586.718,1.351298,1.95303
66.29779,1584.737,1.303872,1.939263
69.52279,1581.177,1.348324,1.920934
72.36581,1578.48,1.329583,1.918237
71.91489,1576.095,1.337085,1.916368
69.4887,1572.815,1.337023,1.898911
68.88856,1570.452,1.32908,1.884504
70.99169,1568.765,1.325535,1.872995
71.69287,1568.146,1.387283,1.874339
71.84284,1569.215,1.416947,1.877539
71.01073,1571.236,1.358828,1.887086
69.21073,1574.136,1.322708,1.908738
70.79288,1576.166,1.326141,1.915738
74.02499,1575.823,1.360368,1.923135
73.11858,1574.323,1.395292,1.920524
69.51192,1574.049,1.331733,1.916141
65.61193,1574.129,1.397249,1.917441
66.66834,1573.861,1.348006,1.923959
70.94999,1574.016,1.310385,1.937039
72.81759,1572.567,1.33653,1.930777
69.51174,1570.926,1.331292,1.922935
68.08674,1569.692,1.307168,1.913678
65.76915,1569.37,1.274351,1.921313
70.05,1568.534,1.268438,1.906623
68.175,1568.776,1.288726,1.910133
69.975,1569.682,1.310886,1.909334
72.2928,1569.599,1.315202,1.927515
72.66779,1570.435,1.309931,1.934161
75.51779,1571.214,1.303414,1.93354
71.175,1570.309,1.34307,1.938905
71.24999,1570.88,1.329858,1.937743
68.99627,1571.095,1.283922,1.94025
71.99627,1570.134,1.2705,1.933133
71.09626,1570.193,1.307751,1.931617
70.8,1570.929,1.302546,1.930851
66.37198,1571.604,1.308351,1.929726
65.61538,1571.819,1.279358,1.925261
63.28657,1571.304,1.342969,1.91815
69.65694,1571.856,1.360554,1.939787
69.73193,1573.748,1.372184,1.948969
69.13573,1574.704,1.376605,1.964875
63.89338,1574.499,1.39729,1.949003
62.85,1573.124,1.372594,1.941999
63.675,1571.059,1.384119,1.935241
65.46821,1569.392,1.375003,1.957707
68.98962,1568.829,1.341225,1.95454
70.86111,1569.407,1.305928,1.958004
73.56045,1569.188,1.322428,1.938446
69.66403,1566.482,1.319936,1.943926
67.56414,1564.514,1.345075,1.940698
65.76489,1562.478,1.31097,1.932946
69.43989,1558.276,1.30818,1.925636
70.41828,1553.144,1.249742,1.919642
68.85,1550.173,1.241617,1.917276
66.81863,1546.951,1.258925,1.921751
64.41863,1544.396,1.252098,1.917088
63.59363,1545.92,1.236766,1.911872
62.54692,1546.923,1.232087,1.910781
64.64692,1546.368,1.191249,1.912398
65.5437,1544.465,1.172957,1.907363
66.89033,1541.151,1.204675,1.899588
66.58361,1536.014,1.203987,1.888144
65.83684,1536.569,1.209273,1.885159
63.51828,1540.182,1.214254,1.884856
59.925,1537.912,1.185531,1.883008
58.8,1535.395,1.17612,1.877145
60.52499,1536.247,1.172826,1.864464
61.2,1536.27,1.184779,1.862396
59.69705,1537.443,1.174765,1.864241
59.39705,1539.954,1.169736,1.868175
59.54706,1538.817,1.171891,1.860434
64.87499,1537.012,1.193559,1.868579
64.7967,1535.403,1.203051,1.863655
64.86551,1536.512,1.182167,1.879733
61.70918,1539.541,1.176872,1.873608
58.93747,1540.414,1.201051,1.876792
59.31866,1540.452,1.218272,1.876704
59.91881,1540.452,1.210328,1.88617
64.7118,1540.452,1.180584,1.891802
67.18681,1540.452,1.191608,1.886736
65.39299,1540.452,1.201842,1.870014
63.22209,1540.408,1.185168,1.865996
61.42209,1539.57,1.196423,1.860903
62.69709,1537.399,1.172945,1.870967
63.29368,1536.565,1.188132,1.876316
64.19369,1536.478,1.186142,1.877034
65.16238,1535.618,1.175253,1.873455
67.59156,1533.262,1.167552,1.863025
68.6384,1532.547,1.173358,1.854426
69.99471,1531.168,1.163944,1.851201
68.99685,1529.2,1.167372,1.851803
68.25,1528.737,1.188053,1.86399
69.14999,1528.72,1.183103,1.868995
67.64999,1528.72,1.182767,1.867188
68.99999,1528.72,1.199463,1.858278
