Depth (mbsf),GR,RHOB,RES,Vp
197.17,85.3437,1.731284,0.628456,1504.129
214.9048,86.03291,1.91697,0.628669,1577.157
194.2744,39.99533,1.580985,0.629898,1607.028
302.7832,88.15096,1.812566,0.630778,1557.217
239.08,88.15096,1.812566,0.630778,1557.217
208.9048,85.33869,1.73913,0.631056,1528.882
231.9172,95.3001,1.745072,0.631076,1531.716
57.2668,53.99143,1.543837,0.632097,1564.12
209.5144,85.30062,1.684167,0.632184,1512.785
199.1512,88.27996,1.628815,0.633535,1518.79
42.1792,80.1877,1.974573,0.636789,1561.362
200.98,86.26544,1.70927,0.63714,1520.784
193.8172,26.8981,1.514349,0.637263,1532.076
209.362,86.40874,1.690724,0.637399,1512.639
265.75,69.10281,1.809876,0.638213,1595.084
251.272,80.97002,1.864002,0.638305,1565.066
220.6396,92.28342,1.749403,0.639479,1569.398
201.2848,85.90125,1.735918,0.640182,1526.93
258.13,88.75631,1.767148,0.640249,1524.826
105.1204,88.75631,1.767148,0.640249,1524.826
420.2836,79.70995,1.85841,0.640811,1565.384
251.4244,79.70995,1.85841,0.640811,1565.384
105.2728,87.89159,1.7726,0.640826,1525.548
199.3036,86.98832,1.644909,0.640848,1520.849
200.8276,88.67084,1.689031,0.641028,1520.452
52.5424,74.21973,1.483911,0.641109,1606.02
296.6872,92.07809,1.754304,0.641393,1568.965
220.792,92.07809,1.754304,0.641393,1568.965
105.4252,87.02686,1.778053,0.641403,1525.918
258.2824,86.16214,1.783505,0.641981,1525.249
105.5776,86.16214,1.783505,0.641981,1525.249
435.3712,70.70806,1.753712,0.64276,1524.443
209.6668,87.66862,1.697947,0.642951,1514.151
220.9444,91.80142,1.756845,0.643317,1568.978
201.1324,86.02454,1.730631,0.643328,1523.061
251.5768,77.83136,1.881184,0.643334,1565.418
251.7292,75.95277,1.903957,0.643554,1565.195
170.6524,103.4043,1.854403,0.643759,1544.261
420.436,74.07418,1.926731,0.644299,1564.933
251.8816,74.07418,1.926731,0.644299,1564.933
99.538,99.542,1.951549,0.64439,1581.549
208.6,85.74799,1.799204,0.644437,1531.174
170.8048,106.0879,1.854998,0.644474,1544.172
58.7908,68.16161,1.764311,0.644753,1539.01
252.034,73.68307,1.949991,0.645045,1564.806
210.124,90.61666,1.708008,0.645118,1528.918
280.0756,108.7715,1.855593,0.64519,1544.269
170.9572,108.7715,1.855593,0.64519,1544.269
252.1864,73.29196,1.973251,0.645792,1564.836
232.0696,91.39317,1.74133,0.645979,1532.539
57.1144,50.26863,1.545334,0.646419,1564.206
420.5884,72.90086,1.996512,0.646541,1564.93
252.3388,72.90086,1.996512,0.646541,1564.93
252.4912,74.64624,2.002283,0.647292,1564.991
208.7524,65.81589,1.840836,0.647579,1574.156
201.5896,97.29671,1.672894,0.647823,1533.989
163.546,81.49447,1.821133,0.648204,1526.737
209.0572,89.32508,1.723732,0.648404,1519.566
196.1032,25.47425,1.481906,0.648444,1540.138
166.5376,90.53019,1.759782,0.648474,1525.418
