Depth (mbsf),GR,Vp,RES,RHOB
197.17,85.3437,1504.129,0.628456,1.731284
214.9048,86.03291,1577.157,0.628669,1.91697
194.2744,39.99533,1607.028,0.629898,1.580985
302.7832,88.15096,1557.217,0.630778,1.812566
239.08,88.15096,1557.217,0.630778,1.812566
208.9048,85.33869,1528.882,0.631056,1.73913
231.9172,95.3001,1531.716,0.631076,1.745072
57.2668,53.99143,1564.12,0.632097,1.543837
209.5144,85.30062,1512.785,0.632184,1.684167
199.1512,88.27996,1518.79,0.633535,1.628815
42.1792,80.1877,1561.362,0.636789,1.974573
200.98,86.26544,1520.784,0.63714,1.70927
193.8172,26.8981,1532.076,0.637263,1.514349
209.362,86.40874,1512.639,0.637399,1.690724
265.75,69.10281,1595.084,0.638213,1.809876
251.272,80.97002,1565.066,0.638305,1.864002
220.6396,92.28342,1569.398,0.639479,1.749403
201.2848,85.90125,1526.93,0.640182,1.735918
258.13,88.75631,1524.826,0.640249,1.767148
105.1204,88.75631,1524.826,0.640249,1.767148
420.2836,79.70995,1565.384,0.640811,1.85841
251.4244,79.70995,1565.384,0.640811,1.85841
105.2728,87.89159,1525.548,0.640826,1.7726
199.3036,86.98832,1520.849,0.640848,1.644909
200.8276,88.67084,1520.452,0.641028,1.689031
52.5424,74.21973,1606.02,0.641109,1.483911
296.6872,92.07809,1568.965,0.641393,1.754304
220.792,92.07809,1568.965,0.641393,1.754304
105.4252,87.02686,1525.918,0.641403,1.778053
258.2824,86.16214,1525.249,0.641981,1.783505
105.5776,86.16214,1525.249,0.641981,1.783505
435.3712,70.70806,1524.443,0.64276,1.753712
209.6668,87.66862,1514.151,0.642951,1.697947
220.9444,91.80142,1568.978,0.643317,1.756845
201.1324,86.02454,1523.061,0.643328,1.730631
251.5768,77.83136,1565.418,0.643334,1.881184
251.7292,75.95277,1565.195,0.643554,1.903957
170.6524,103.4043,1544.261,0.643759,1.854403
420.436,74.07418,1564.933,0.644299,1.926731
251.8816,74.07418,1564.933,0.644299,1.926731
99.538,99.542,1581.549,0.64439,1.951549
208.6,85.74799,1531.174,0.644437,1.799204
170.8048,106.0879,1544.172,0.644474,1.854998
58.7908,68.16161,1539.01,0.644753,1.764311
252.034,73.68307,1564.806,0.645045,1.949991
210.124,90.61666,1528.918,0.645118,1.708008
280.0756,108.7715,1544.269,0.64519,1.855593
170.9572,108.7715,1544.269,0.64519,1.855593
252.1864,73.29196,1564.836,0.645792,1.973251
232.0696,91.39317,1532.539,0.645979,1.74133
57.1144,50.26863,1564.206,0.646419,1.545334
420.5884,72.90086,1564.93,0.646541,1.996512
252.3388,72.90086,1564.93,0.646541,1.996512
252.4912,74.64624,1564.991,0.647292,2.002283
208.7524,65.81589,1574.156,0.647579,1.840836
201.5896,97.29671,1533.989,0.647823,1.672894
163.546,81.49447,1526.737,0.648204,1.821133
209.0572,89.32508,1519.566,0.648404,1.723732
196.1032,25.47425,1540.138,0.648444,1.481906
166.5376,90.53019,1525.418,0.648474,1.759782
278.5516,91.17046,1525.512,0.648701,1.755775
166.3852,91.17046,1525.512,0.648701,1.755775
166.2328,91.06493,1526.152,0.648929,1.758997
209.8192,85.78597,1519.105,0.649027,1.698648
166.0804,90.95941,1527.203,0.649157,1.762219
278.3992,90.85388,1528.535,0.649384,1.765441
165.928,90.85388,1528.535,0.649384,1.765441
165.7756,91.14517,1530.027,0.649613,1.767196
208.7524,85.45876,1531.018,0.650578,1.778545
222.7732,93.43661,1573.887,0.651142,1.770651
42.0268,86.40707,1552.93,0.651234,1.969574
209.2096,85.74158,1514.102,0.652448,1.689392
204.1804,87.43464,1511.037,0.652672,1.750447
57.4192,58.62063,1562.826,0.652884,1.54646
292.7832,82.11575,1554.578,0.653322,1.491022
56.962,50.2058,1561.715,0.654089,1.556302
306.7456,88.88537,1586.885,0.654329,1.96225
250.9672,88.88537,1586.885,0.654329,1.96225
70.2208,93.47827,1574.129,0.655093,1.859931
209.9716,85.61173,1526.422,0.655134,1.699906
201.742,100.2101,1534.768,0.655299,1.655481
250.6624,81.233,1565.162,0.655543,1.9107
222.9256,92.33667,1573.121,0.656122,1.77104
297.4492,91.23672,1572.501,0.656319,1.77143
223.078,91.23672,1572.501,0.656319,1.77143
200.0656,89.49129,1521.193,0.658308,1.694903
265.5976,67.49556,1595.038,0.658675,1.800242
292.1736,79.70891,1492.909,0.65949,1.571744
57.8764,66.21241,1558.039,0.659503,1.546196
73.4776,86.28794,1518.687,0.659963,1.733117
513.7048,73.27126,1654.716,0.659972,1.987449
199.6084,89.462,1518.021,0.660104,1.674986
514.162,79.48511,1659.57,0.660795,1.978198
65.6488,96.42573,1572.172,0.66088,1.984185
424.3984,71.66024,1605.521,0.661203,1.942049
267.8836,71.66024,1605.521,0.661203,1.942049
199.456,86.88457,1518.511,0.66147,1.65525
204.028,88.58726,1511.508,0.66164,1.749544
190.7692,20.19882,1523.551,0.661975,1.482105
245.6332,101.2066,1582.856,0.662363,1.960039
232.984,102.0401,1532.451,0.662394,1.741701
57.724,66.02831,1559.715,0.662867,1.551426
221.0968,91.52475,1569.617,0.662957,1.759386
69.7636,94.60664,1579.129,0.663165,1.853876
250.8148,89.59195,1587.157,0.66319,1.970755
214.0864,103.012,1572.844,0.663329,1.813456
105.73,86.27137,1523.226,0.663355,1.789329
52.6948,74.24816,1608.422,0.663632,1.620054
214.2388,105.6806,1573.207,0.663754,1.821471
296.7456,97.9696,1500.047,0.663987,1.58515
296.898,94.46045,1498.691,0.664023,1.584256
226.2784,67.32056,1562.559,0.66403,1.91672
220.4872,92.48875,1569.987,0.664034,1.744502
294.5536,108.3491,1573.618,0.664067,1.829486
214.3912,108.3491,1573.618,0.664067,1.829486
304.9168,100.5771,1581.761,0.664137,1.979982
245.4808,100.5771,1581.761,0.664137,1.979982
199.7608,87.90818,1521.547,0.664302,1.696958
214.5436,109.2008,1574.248,0.66438,1.830359
203.5708,90.54173,1517.835,0.664626,1.793467
200.218,88.84913,1515.978,0.664649,1.685393
54.9808,73.47744,1566.6,0.665258,1.40358
