Depth (mbsf),GR,Vp,RES,RHOB
48.9204,65.44231,1576.99,1.231555,1.855396
49.0728,66.35126,1576.056,1.207606,1.850124
49.2252,63.11645,1575.907,1.207973,1.822238
49.3776,61.61189,1577.037,1.223395,1.827816
49.53,60.55868,1580.131,1.114012,1.829757
49.6824,62.95947,1585.655,1.134587,1.850303
49.8348,65.96208,1585.785,1.156141,1.855272
49.9872,62.05022,1580.67,1.177219,1.869069
50.1396,61.83106,1575.681,1.14938,1.884926
50.292,60.333,1574.391,1.179315,1.846767
50.4444,68.83379,1574.625,1.087686,1.855956
50.5968,70.63926,1577.041,1.104245,1.824736
50.7492,72.29427,1580.504,1.120004,1.829317
50.9016,69.95548,1583.868,1.108786,1.828121
51.054,67.77068,1583.792,1.13182,1.83707
51.2064,67.46976,1581.987,1.160813,1.87983
51.3588,69.8838,1580.156,1.178864,1.85476
51.5112,69.65468,1580.296,1.150183,1.867625
51.6636,69.57616,1581.989,1.077219,1.852101
51.816,63.70836,1583.442,0.943519,1.858699
51.9684,64.46075,1583.441,1.144673,1.868699
52.1208,62.05392,1581.475,1.199154,1.847737
52.2732,66.2667,1581.617,1.214497,1.852218
52.4256,65.52093,1585.412,1.259262,1.858418
52.578,67.02519,1586.899,1.243114,1.857279
52.7304,66.72427,1588.587,1.286013,1.848239
52.8828,68.52298,1591.346,1.257309,1.843123
53.0352,70.18112,1590.305,1.306585,1.848376
53.1876,68.21883,1587.666,1.268725,1.865974
53.34,70.02386,1585.772,1.1764,1.89034
53.4924,71.44976,1584.005,1.154763,1.901863
53.6448,70.10201,1581.47,1.182552,1.884318
53.7972,69.20648,1580.266,1.184755,1.866889
53.9496,68.30719,1581.054,1.190013,1.890824
54.102,68.90901,1581.719,1.184068,1.852415
54.2544,66.65216,1582.549,1.20384,1.857267
54.4068,64.39532,1583.258,1.18934,1.881057
54.5592,65.59898,1586.287,1.137989,1.88648
54.7116,66.2008,1590.844,1.182542,1.885493
54.864,69.51084,1592.2,1.301291,1.865526
55.0164,69.42916,1591.279,1.316329,1.86141
55.1688,67.77414,1590.826,1.260063,1.881572
55.3212,66.56376,1591.95,1.220223,1.872801
55.4736,65.44179,1593.066,1.183633,1.900114
55.626,66.78939,1592.054,1.177024,1.904857
55.7784,63.02892,1588.119,1.22971,1.913122
55.9308,63.85643,1586.318,1.214418,1.889728
56.0832,65.51795,1581.196,1.208841,1.901178
56.2356,71.24109,1578.334,1.235722,1.891434
56.388,68.30439,1576.236,1.233757,1.888827
56.5404,65.14481,1574.745,1.175373,1.882407
56.6928,63.03841,1576.072,1.157722,1.880987
56.8452,66.79926,1575.926,1.128429,1.851145
56.9976,68.60474,1575.435,1.160229,1.851138
57.15,69.35702,1576.427,1.180018,1.863506
57.3024,69.73333,1577.702,1.189504,1.861553
57.4548,69.28196,1576.826,1.184919,1.872662
57.6072,68.82352,1574.305,1.158248,1.863167
57.7596,67.54784,1571.039,1.184483,1.870719
57.912,65.96804,1569.146,1.148375,1.844595
58.0644,62.96599,1570.563,1.146361,1.83704
58.2168,62.65849,1571.611,1.158204,1.821213
58.3692,64.68965,1571.788,1.160554,1.827382
58.5216,63.18509,1575.002,1.174391,1.801315
58.674,64.08791,1578.068,1.191169,1.808328
58.8264,62.88426,1580.605,1.184238,1.802326
58.9788,64.53927,1581.431,1.193424,1.813271
59.1312,62.58701,1581.338,1.186924,1.820885
59.2836,60.02925,1581.648,1.185632,1.821157
59.436,59.42743,1581.902,1.226309,1.821444
59.5884,59.88163,1581.628,1.270241,1.814956
59.7408,62.13848,1577.579,1.290655,1.817707
59.8932,63.63998,1572.381,1.248996,1.796327
60.0456,63.94089,1562.188,1.178623,1.786028
60.198,65.89682,1561.131,1.164149,1.775569
60.3504,65.22283,1567.163,1.196885,1.784118
60.5028,64.62101,1574.858,1.219115,1.815065
60.6552,62.36417,1579.615,1.182864,1.841928
60.8076,60.25777,1582.163,1.211054,1.838774
60.96,62.20686,1582.25,1.171532,1.806948
61.1124,60.84666,1553.58,1.14262,1.792627
61.2648,60.46473,1544.891,1.093772,1.786892
61.4172,64.98527,1536.578,1.113001,1.790501
61.5696,69.04336,1535.162,1.137425,1.795033
61.722,72.20245,1539.938,1.10523,1.780706
61.8744,65.95559,1547.141,1.110173,1.742195
62.0268,63.10115,1539.671,1.169506,1.719505
62.1792,61.67558,1526.677,1.198451,1.689137
62.3316,55.27507,1510.418,1.203906,1.685295
62.484,51.3693,1512.748,1.265768,1.673247
62.6364,52.42181,1518.23,1.268421,1.674576
62.7888,57.39013,1523.754,1.125213,1.674788
62.9412,61.4495,1528.573,1.136474,1.702734
63.0936,59.42155,1533.309,1.056378,1.705496
63.246,62.1291,1538.074,1.056865,1.707069
63.3984,64.08798,1542.503,1.056662,1.70213
63.5508,65.14118,1546.417,1.057445,1.7154
63.7032,65.06931,1545.47,1.060904,1.706681
63.8556,63.48644,1531.654,1.056291,1.718799
64.008,62.42757,1518.083,1.055486,1.719669
64.1604,60.99843,1524.49,1.067431,1.731577
64.3128,58.29329,1524.49,1.201885,1.733018
64.4652,60.47742,1524.49,1.265903,1.738629
64.6176,60.7782,1524.49,1.280341,1.735337
64.77,66.56408,1524.49,1.213413,1.764911
64.9224,71.75077,1537.735,1.082211,1.76158
65.0748,75.96655,1551.983,1.047915,1.782706
65.2272,76.42462,1566.026,1.060351,1.779704
