GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
83.32462,1.960685,1.397714,1.392161,1.330191,1.334217,1.346314,1732.471
80.77462,1.956545,1.387965,1.375815,1.39737,1.418487,1.434058,1731.201
80.54997,1.959178,1.390716,1.378964,1.39023,1.424,1.435286,1731.295
79.71759,1.958475,1.382019,1.374581,1.383178,1.411095,1.418175,1728.523
78.96759,1.964139,1.384744,1.384203,1.372903,1.391667,1.397398,1717.981
77.54623,1.960708,1.362201,1.378563,1.347147,1.35484,1.363109,1704.562
78.28846,1.965751,1.362705,1.380883,1.34581,1.356653,1.36588,1696.234
79.33074,1.963456,1.338409,1.362674,1.307666,1.325131,1.342798,1688.781
84.27622,1.973671,1.325639,1.360946,1.274572,1.292283,1.3148,1680.169
79.33398,1.978633,1.31953,1.348415,1.223686,1.23387,1.248614,1669.98
79.41671,1.985707,1.317058,1.360679,1.194082,1.206452,1.216586,1664.258
73.125,1.988838,1.314617,1.342869,1.197377,1.207177,1.219327,1665.895
78.225,1.980543,1.314046,1.334729,1.225504,1.242241,1.259975,1673.36
84.14077,1.977403,1.32202,1.341552,1.216935,1.240245,1.261112,1682.467
88.78677,1.971999,1.324376,1.339286,1.218922,1.238958,1.266552,1691.943
90.87845,1.967846,1.320439,1.346198,1.232466,1.253462,1.278609,1704.306
82.63767,1.953711,1.307211,1.327926,1.241693,1.262963,1.257167,1717.922
83.54166,1.949276,1.301262,1.327503,1.250131,1.268281,1.270003,1720.047
79.94999,1.954198,1.295959,1.299871,1.2469,1.254646,1.274727,1721.794
80.24645,1.980017,1.243643,1.277981,1.223907,1.217063,1.279957,1728.393
78.73843,2.007787,1.232755,1.270837,1.176008,1.204585,1.267573,1741.125
74.23843,2.035242,1.20475,1.249499,1.056796,1.10847,1.149316,1747.497
72.44196,2.027188,1.181658,1.244622,1.007773,1.033193,1.043387,1747.986
70.35,2.025921,1.173054,1.233777,0.885025,0.925827,0.891662,1747.593
75.3,2.029173,1.166287,1.212638,0.939605,0.998368,1.074258,1745.235
75.29291,2.057573,1.14725,1.204542,1.033255,1.128892,1.117069,1745.935
74.83897,2.058494,1.153543,1.162943,1.210147,1.180369,1.167184,1747.9
72.88897,2.048663,1.124135,1.170862,1.247953,1.246514,1.228603,1747.986
74.24606,2.027141,1.114078,1.16828,1.290889,1.239673,1.211796,1747.986
76.64999,1.998697,1.047374,1.136825,1.259112,1.263588,1.280917,1747.507
77.55,1.979847,1.024363,1.141611,1.263209,1.260839,1.252462,1741.903
82.2,1.970431,0.960824,1.067194,1.189373,1.126166,1.136031,1728.443
82.95,1.974298,0.942525,1.075726,1.098779,1.038475,1.053489,1713.218
85.79202,1.980696,0.931929,1.046924,1.106115,1.027478,0.866045,1699.315
87.0629,1.973684,0.913156,1.024205,1.114654,1.057629,1.009696,1689.761
83.7629,1.977953,0.931784,1.010815,1.096899,1.021851,1.016186,1683.279
79.42089,1.986363,0.923687,0.978552,1.090786,1.058513,1.048456,1679.01
74.24238,1.992135,0.93202,1.026212,1.032851,1.043784,0.988429,1680.069
73.78515,1.993569,0.990231,1.130933,1.08022,1.053622,0.992856,1689.61
79.02693,1.987097,1.006276,1.000184,1.090076,1.0777,1.02769,1699.477
76.92776,1.983873,1.028801,1.0688,1.169045,1.149304,1.171052,1705.806
81.50999,1.982745,1.019148,1.080306,1.18379,1.199132,1.192804,1707.625
80.76821,1.986409,0.971978,1.082536,1.165104,1.187919,1.172287,1705.532
85.41705,1.998722,1.053616,1.05564,1.213472,1.256513,1.285609,1702.316
84.58832,2.005431,1.003938,1.018216,1.101915,1.125347,1.128779,1704.173
85.03018,2.010817,1.137511,1.195897,1.155799,1.175508,1.205185,1707.477
86.83813,2.021134,1.158168,1.18463,1.303356,1.304043,1.305135,1707.944
89.84186,2.031713,1.159893,1.189354,1.272153,1.270317,1.264758,1709.824
87.07131,2.028189,1.175252,1.183748,1.234741,1.242206,1.242913,1711.039
86.7713,2.02014,1.173201,1.208262,1.213819,1.218293,1.208445,1712.7
82.2713,2.010252,1.177139,1.231707,1.198763,1.199165,1.186611,1722.064
83.99999,2.02377,1.22502,1.240823,1.227362,1.22071,1.209072,1732.846
81.4459,2.033153,1.236012,1.244156,1.247451,1.236697,1.219973,1739.407
78.29591,2.053175,1.281363,1.274354,1.331632,1.301864,1.298286,1743.464
68.09058,2.053847,1.295147,1.281281,1.414209,1.391561,1.394402,1739.719
63.73807,2.051509,1.318434,1.312076,1.442051,1.459981,1.476989,1736.468
64.10931,2.044594,1.326966,1.339474,1.355848,1.391009,1.405247,1734.604
71.16463,2.052737,1.335068,1.354332,1.298815,1.326967,1.341358,1738.422
71.62122,2.051569,1.349589,1.353807,1.24434,1.251095,1.248472,1750.352
71.25,2.04226,1.360618,1.359311,1.255533,1.262196,1.262261,1756.744
69.45,2.049046,1.370491,1.373772,1.314453,1.329357,1.346151,1749.837
68.625,2.047917,1.363972,1.380864,1.335504,1.349986,1.37251,1744.039
63.97499,2.038221,1.375459,1.380885,1.337284,1.358624,1.376823,1739.606
59.325,2.019289,1.380333,1.388065,1.340412,1.358554,1.370867,1738.814
56.39999,2.019725,1.370152,1.393155,1.323976,1.339033,1.337861,1742.283
59.09999,2.030111,1.389774,1.392327,1.316612,1.327792,1.330173,1747.538
63.3,2.041345,1.373478,1.391157,1.337425,1.341182,1.33993,1750.751
65.54337,2.032617,1.378803,1.384667,1.319997,1.33412,1.33763,1751.054
65.84014,2.036829,1.373161,1.3802,1.34667,1.356954,1.355625,1747.937
63.89014,2.024683,1.371658,1.394111,1.331082,1.334251,1.334962,1743.355
64.93987,2.031899,1.375305,1.383219,1.337607,1.335439,1.334045,1741.738
66.2931,2.052099,1.373944,1.379153,1.352677,1.3517,1.353844,1741.775
64.78713,2.055264,1.373846,1.386461,1.334442,1.340078,1.352074,1743.73
62.09403,2.052377,1.357613,1.378778,1.319137,1.323869,1.331629,1745.014
61.48724,2.032616,1.352764,1.378533,1.288344,1.292188,1.291573,1751.555
65.23631,2.02477,1.346521,1.37163,1.279323,1.283461,1.285321,1761.243
66.12986,2.025017,1.341576,1.35366,1.2771,1.283741,1.289555,1763.832
67.48664,2.016924,1.333792,1.34821,1.269902,1.277359,1.288754,1762.664
68.09354,2.021941,1.330155,1.357561,1.24513,1.258667,1.26862,1754.799
69.14999,2.032784,1.324277,1.343707,1.233526,1.245192,1.252521,1749.267
66.2217,2.037901,1.321397,1.336967,1.249678,1.260442,1.268875,1748.018
63.2217,2.039928,1.320654,1.331893,1.25253,1.263949,1.271138,1748.782
62.47169,2.020553,1.31923,1.330757,1.263357,1.275229,1.281858,1754.65
63.14999,2.021801,1.327317,1.346154,1.261573,1.271833,1.282059,1757.438
65.99329,2.015266,1.300957,1.318598,1.254843,1.263704,1.277489,1759.031
63.58766,2.011502,1.299207,1.329578,1.259955,1.264948,1.279729,1763.263
67.48766,1.996368,1.296957,1.31999,1.252504,1.265636,1.279234,1759.351
65.76937,1.987706,1.276605,1.313682,1.206505,1.214631,1.222885,1753.891
68.925,1.998574,1.284509,1.322586,1.195026,1.194078,1.201305,1747.104
63.975,1.994903,1.28299,1.321169,1.223022,1.229137,1.235664,1724.949
64.2,1.990549,1.295024,1.312805,1.232572,1.238916,1.250061,1702.451
61.95,1.98597,1.294488,1.310679,1.241843,1.26007,1.272443,1696.917
65.99299,1.992132,1.307011,1.315792,1.238629,1.255459,1.261502,1700.039
71.99298,1.996864,1.318694,1.325079,1.253405,1.259107,1.263337,1711.265
78.29298,1.999275,1.319212,1.307031,1.251256,1.25588,1.257301,1726.102
76.8,1.993855,1.30632,1.322807,1.244749,1.250502,1.257569,1739.109
70.35,1.998584,1.296821,1.318543,1.263236,1.268638,1.281753,1745.579
69.521,1.995546,1.286392,1.319611,1.243504,1.251266,1.26203,1752.149
70.41414,1.999879,1.272163,1.317281,1.190091,1.202136,1.219038,1749.359
71.76414,1.984202,1.259704,1.317676,1.164914,1.179373,1.191374,1732.063
73.49313,1.976979,1.27002,1.307532,1.147629,1.160448,1.16727,1713.722
77.85,1.973816,1.275372,1.301656,1.148519,1.156755,1.159022,1700.283
82.95,1.963134,1.300194,1.31929,1.172194,1.17599,1.173918,1701.12
80.85,1.975159,1.313534,1.308762,1.224499,1.227139,1.231495,1712.642
80.4,1.981191,1.315232,1.316038,1.300553,1.303941,1.315289,1716.327
80.39999,2.003099,1.322397,1.326465,1.292213,1.305689,1.322465,1712.687
82.03492,1.994341,1.313169,1.331318,1.280782,1.299356,1.313971,1703.851
78.72791,1.978666,1.302882,1.325442,1.251236,1.275543,1.293897,1693.214
82.62791,1.951532,1.289209,1.326742,1.162388,1.178932,1.18209,1684.306
83.99297,1.931299,1.281937,1.316707,1.127273,1.132798,1.138213,1684.178
86.32113,1.912343,1.279987,1.31721,1.147014,1.153053,1.1591,1693.41
81.36356,1.917778,1.289445,1.318962,1.156501,1.160087,1.166371,1708.803
78.51356,1.919716,1.293426,1.315186,1.17106,1.178579,1.187413,1728.265
77.09242,1.929965,1.299696,1.324703,1.201322,1.213073,1.221969,1745.578
78.3,1.937131,1.309012,1.320282,1.212957,1.219916,1.22521,1754.457
82.49999,1.943797,1.312399,1.331132,1.216963,1.219398,1.221874,1762.536
80.09335,1.956833,1.31227,1.327731,1.227032,1.226687,1.230674,1763.872
79.86459,1.959432,1.325522,1.322244,1.241214,1.242719,1.255413,1759.161
78.96459,1.959821,1.330241,1.32515,1.236845,1.241296,1.258031,1747.422
86.01283,1.953884,1.318291,1.316641,1.218378,1.225421,1.228071,1729.599
81.57817,1.962794,1.327902,1.317805,1.22231,1.227125,1.21871,1712.129
80.97034,1.97715,1.329484,1.301959,1.200353,1.206643,1.201944,1702.418
79.09974,1.990744,1.31106,1.285763,1.234344,1.229145,1.235848,1702.225
83.76317,1.994831,1.311842,1.298161,1.265034,1.265912,1.271774,1704.407
79.496,1.997516,1.295806,1.281775,1.273635,1.279558,1.292904,1703.963
74.62499,1.978068,1.280807,1.274397,1.251874,1.26234,1.262701,1705.925
65.325,1.910551,1.276831,1.27297,1.234534,1.243013,1.246213,1710.801
58.49751,1.888057,1.257847,1.272371,1.207139,1.223074,1.232347,1713.822
50.09289,1.869357,1.255542,1.262839,1.164521,1.192932,1.213224,1713.667
47.8404,1.889958,1.242858,1.262727,1.159313,1.192597,1.222685,1707.549
48.14151,1.856736,1.236318,1.263058,1.136429,1.171743,1.194616,1699.182
49.49612,1.84288,1.232061,1.26148,1.120171,1.146969,1.168349,1694.045
57.29861,1.831921,1.236229,1.252319,1.107886,1.126003,1.131787,1692.926
61.34384,1.837094,1.251151,1.261035,1.101955,1.109714,1.111138,1693.284
71.74552,1.883687,1.248291,1.253732,1.139998,1.140858,1.143328,1695.595
75.39553,1.925691,1.244925,1.254613,1.172253,1.165354,1.169783,1698.606
77.20168,1.95489,1.236338,1.254286,1.176788,1.169832,1.172175,1705.598
77.975,1.93124,1.211909,1.239358,1.169136,1.15469,1.151249,1707.817
76.27499,1.922547,1.202534,1.237763,1.134184,1.112969,1.107027,1707.863
80.175,1.927809,1.185516,1.226796,1.09986,1.072116,1.06605,1707.276
79.5,1.941732,1.189494,1.212077,1.100595,1.077668,1.076426,1706.454
79.05,1.959634,1.183913,1.20564,1.107761,1.108334,1.110129,1706.336
78.14999,1.955458,1.18591,1.210423,1.093258,1.098747,1.099341,1704.584
76.79246,1.934213,1.187282,1.207344,1.084933,1.083861,1.081511,1699.828
76.48493,1.915925,1.187882,1.18523,1.092531,1.089166,1.094997,1694.195
75.72747,1.91545,1.183411,1.169358,1.082015,1.086825,1.082812,1693.097
75.42754,1.935061,1.167807,1.176734,1.100235,1.103113,1.082143,1698.361
72.13508,1.943727,1.16768,1.186369,1.114559,1.106169,1.100768,1709.356
69.74254,1.94658,1.156653,1.184458,1.115785,1.088512,1.094364,1714.866
67.79303,1.947574,1.130538,1.169978,1.109341,1.103121,1.10004,1715.715
71.39302,1.956064,1.104317,1.151835,1.097295,1.111846,1.099959,1710.424
72.72863,1.966114,1.066764,1.134426,1.082879,1.065493,1.052735,1700.102
77.5356,1.985239,1.051414,1.138907,0.991924,0.970825,0.985802,1681.457
75.5856,1.998718,1.073423,1.139041,1.016668,1.048635,1.083026,1648.258
73.1934,2.005309,1.082254,1.120885,1.079313,1.117128,1.155487,1630.667
71.38956,1.996065,1.079764,1.126603,0.978867,0.987038,0.993297,1643.31
71.63958,1.991234,1.052384,1.119818,0.926508,0.878389,0.879219,1659.672
76.74616,1.990717,1.087862,1.095881,1.051703,1.051949,1.089795,1663.621
74.94999,1.991374,1.095298,1.116994,1.077669,1.081139,1.113708,1660.594
82.04999,1.986644,1.08494,1.1333,1.089433,1.042452,1.071964,1657.116
81.89628,1.998874,1.080274,1.1401,1.128148,1.096656,1.122954,1664.655
83.5386,2.007892,1.076299,1.13171,1.145429,1.147573,1.163985,1683.904
77.0097,2.016095,1.091616,1.130364,1.057183,1.097904,1.106028,1695.36
74.76342,2.004596,1.112326,1.170206,0.900791,0.933748,0.939064,1702.153
71.0211,1.999242,1.153531,1.14832,1.098529,1.11598,1.123638,1709.742
68.55,1.982789,1.151061,1.146774,1.150797,1.173759,1.178756,1716.588
67.49625,1.985204,1.19307,1.163586,1.058497,1.085086,1.110124,1720.818
68.982,1.985018,1.163916,1.159445,1.198724,1.221358,1.248831,1727.658
67.92556,1.99356,1.183001,1.165035,1.183457,1.191846,1.20023,1736.188
66.57931,1.983222,1.196993,1.168149,1.188878,1.203889,1.209694,1737.057
64.94355,1.97769,1.222634,1.211465,1.199098,1.216782,1.224704,1732.833
67.05,1.982019,1.236426,1.225276,1.206076,1.219249,1.229165,1736.102
68.17146,1.989312,1.268273,1.267501,1.18069,1.185298,1.208588,1750.51
71.17146,1.991736,1.270865,1.283874,1.20383,1.216341,1.245213,1767.281
72.44646,1.992554,1.288955,1.290647,1.226692,1.26217,1.292623,1772.834
74.46754,1.988175,1.299009,1.31805,1.187373,1.234609,1.265069,1773.13
74.76029,1.994638,1.304929,1.337053,1.102423,1.139486,1.164174,1768.18
78.28529,1.995479,1.31509,1.338316,1.116724,1.120882,1.126349,1760.616
73.79276,2.00263,1.331568,1.354375,1.172057,1.182002,1.200721,1749.328
72.74999,2.010439,1.338463,1.349105,1.216408,1.239314,1.264259,1734.506
68.55,2.003543,1.35512,1.370851,1.205768,1.232905,1.253613,1726.317
74.625,2.006004,1.35771,1.376891,1.215136,1.235521,1.251913,1723.168
77.62499,1.990791,1.371263,1.370032,1.223553,1.240016,1.253491,1723.111
78.21802,1.979432,1.380314,1.373483,1.246147,1.263867,1.275883,1723.534
73.33668,1.977843,1.373552,1.367581,1.25693,1.273142,1.286249,1723.101
72.73669,1.985548,1.38148,1.377563,1.267247,1.280082,1.291344,1721.525
76.64365,1.999343,1.385134,1.374423,1.274283,1.286677,1.294747,1713.609
85.35,2.003211,1.383172,1.371957,1.273036,1.295146,1.31052,1703.881
86.69999,2.008823,1.382159,1.376197,1.274043,1.292774,1.303667,1695.123
85.64231,2.011663,1.379977,1.385151,1.258439,1.274421,1.285614,1685.546
82.48458,2.01009,1.380787,1.386237,1.268809,1.278194,1.291725,1681.245
80.38084,2.011141,1.374997,1.391003,1.277826,1.284245,1.300886,1681.147
79.78098,2.015453,1.366718,1.393291,1.269685,1.284992,1.299797,1680.925
79.11371,2.010307,1.367274,1.376603,1.262489,1.276571,1.288595,1678.921
78.8136,2.005346,1.347636,1.375072,1.238348,1.251405,1.256091,1677.873
78.06715,2.00502,1.357852,1.3638,1.203256,1.208633,1.214259,1676.399
77.16714,2.016004,1.348614,1.363175,1.231277,1.231297,1.240542,1689.431
76.117,2.021694,1.35551,1.358227,1.245838,1.25086,1.26682,1697.607
74.31408,2.031799,1.352471,1.356786,1.247556,1.255481,1.269397,1696.436
77.23908,2.032791,1.356062,1.344772,1.251683,1.263635,1.277449,1702.386
77.54309,2.034297,1.354334,1.340477,1.240102,1.257891,1.254428,1706.264
80.85,2.025116,1.357212,1.355362,1.248366,1.2558,1.252119,1711.143
80.1668,2.029251,1.344888,1.347689,1.25467,1.255183,1.24249,1713.684
79.2599,2.021451,1.280586,1.345793,1.285513,1.259834,1.292207,1713.444
79.2599,2.016129,1.226421,1.332249,1.283842,1.269061,1.310087,1707.78
73.4931,2.014703,1.173014,1.304702,1.186688,1.179562,1.196466,1700.199
76.8,2.008382,1.165326,1.296219,1.000989,0.957895,0.92181,1693.65
78.59182,2.014065,1.188015,1.303163,0.995384,0.953447,0.927573,1684.494
79.04182,2.000628,1.277718,1.300673,1.167431,1.184728,1.20687,1678.037
77.39182,2.001123,1.288514,1.315028,1.211562,1.238124,1.266715,1679.781
73.94269,2.001234,1.294642,1.330649,1.226561,1.250188,1.268099,1689.772
81.28428,2.00813,1.309531,1.337038,1.257991,1.262589,1.26988,1703.901
85.40928,2.025728,1.336536,1.336895,1.27173,1.271753,1.280295,1720.886
87.80898,2.043858,1.355382,1.348971,1.283457,1.299903,1.314872,1731.674
83.46008,2.057855,1.363764,1.3617,1.282625,1.307095,1.318859,1732.501
78.87788,2.054232,1.369158,1.360657,1.28261,1.324861,1.335993,1736.373
74.68549,2.037362,1.370551,1.36424,1.292944,1.337703,1.349907,1738.454
77.2428,2.036528,1.360138,1.371625,1.187148,1.20651,1.216498,1736.134
78.3,2.029781,1.346152,1.351177,1.213991,1.226923,1.242968,1731.246
84.9,2.026615,1.340939,1.348914,1.277916,1.290366,1.302227,1725.537
82.95,2.008651,1.342805,1.361774,1.254962,1.275196,1.284826,1723.075
82.5,2.009948,1.319834,1.345258,1.216967,1.240033,1.259004,1720.614
79.35,2.010553,1.317898,1.333502,1.209528,1.230585,1.245962,1714.563
78.9,2.026083,1.320609,1.345491,1.216228,1.228265,1.233478,1709.158
82.05,2.032593,1.3281,1.336675,1.216911,1.234393,1.239214,1707.872
82.35,2.025448,1.328911,1.343482,1.213589,1.222955,1.221547,1707.863
84.14999,2.012803,1.328024,1.344799,1.227645,1.229635,1.234249,1707.78
85.94999,1.994233,1.329817,1.343422,1.237283,1.238613,1.250382,1705.532
86.85,1.996789,1.333905,1.348552,1.251623,1.259877,1.265409,1702.235
85.4213,2.006059,1.344961,1.337724,1.253357,1.268462,1.278243,1701.862
78.36447,2.027915,1.334918,1.347381,1.24996,1.253999,1.253405,1702.902
74.16448,2.044832,1.345618,1.357772,1.219183,1.224035,1.217386,1704.77
74.76466,2.034855,1.353687,1.351885,1.246509,1.254559,1.264837,1704.479
77.61779,2.019958,1.352893,1.354518,1.279328,1.279485,1.296909,1702.225
80.16779,2.00412,1.347833,1.345503,1.271063,1.277265,1.29638,1701.943
81.28843,2.010374,1.336508,1.344232,1.263358,1.271291,1.287531,1705.079
82.63425,2.010442,1.321671,1.343883,1.202505,1.210577,1.212991,1710.155
81.88425,2.023485,1.313922,1.338947,1.180877,1.181894,1.180148,1712.469
80.69212,2.031517,1.303678,1.328838,1.187816,1.180507,1.181718,1711.094
76.19999,2.035892,1.306413,1.33728,1.19863,1.205324,1.21332,1708.764
78.74999,2.030132,1.300534,1.331996,1.202468,1.219079,1.23363,1705.596
79.8,2.019901,1.297956,1.329101,1.200692,1.217609,1.229702,1704.938
85.2,2.032963,1.297353,1.335035,1.140434,1.151103,1.160532,1706.816
82.05,2.034977,1.300803,1.338912,1.19226,1.202224,1.208793,1709.683
78.89999,2.040896,1.318877,1.342348,1.234991,1.244903,1.251171,1720.9
76.34223,2.032213,1.330674,1.354834,1.226878,1.233651,1.242646,1731.307
71.84223,2.027793,1.333611,1.349544,1.232759,1.241712,1.25302,1737.344
70.78515,2.02329,1.338259,1.359052,1.273787,1.279835,1.291071,1739.635
71.69291,2.015477,1.342077,1.356666,1.267475,1.2794,1.293888,1740.118
73.94291,2.013869,1.350628,1.362599,1.255006,1.264856,1.273917,1736.321
76.65,2.010699,1.345805,1.364072,1.241662,1.254524,1.258299,1740.583
71.25,2.008302,1.336712,1.363024,1.233654,1.242317,1.24051,1743.377
71.85,2.023541,1.329655,1.369758,1.247421,1.250786,1.249326,1743.281
72.7223,2.026699,1.338504,1.365243,1.247673,1.253138,1.252523,1744.784
76.76495,2.039996,1.332652,1.369786,1.255811,1.254994,1.258495,1744.345
78.93995,2.027805,1.320416,1.36639,1.254495,1.25469,1.255338,1738.454
79.25988,2.028746,1.327258,1.353243,1.251104,1.255665,1.26093,1728.153
80.60554,2.012435,1.333344,1.357063,1.251733,1.25423,1.262617,1717.04
81.79409,2.001456,1.333805,1.363175,1.242404,1.250781,1.257271,1707.909
79.47686,1.995517,1.332521,1.357397,1.237472,1.241158,1.246457,1700.285
80.64887,1.998496,1.330787,1.355813,1.23645,1.239174,1.238378,1692.443
77.88532,2.01621,1.330701,1.356006,1.247679,1.254869,1.257363,1689.997
77.96032,2.023694,1.340134,1.363022,1.253541,1.261937,1.270144,1692.408
74.84999,2.027427,1.337609,1.365565,1.256525,1.264825,1.276128,1700.682
75.975,2.021497,1.353514,1.36757,1.256568,1.262797,1.276421,1718.425
76.57499,2.018719,1.346049,1.366932,1.222633,1.225407,1.227921,1741.039
78.075,2.021723,1.336526,1.358465,1.244991,1.248567,1.250891,1749.858
79.95,2.016216,1.329069,1.362586,1.246545,1.252267,1.258132,1751.139
81.45,2.018335,1.337147,1.361213,1.248143,1.255715,1.261194,1750.756
78.7431,2.026304,1.336825,1.363316,1.247011,1.259246,1.267661,1748.373
77.2431,2.03127,1.321721,1.365722,1.245461,1.255295,1.263106,1747.146
75.8931,2.031615,1.326939,1.369383,1.223639,1.229322,1.230642,1742.283
78,2.029947,1.333402,1.360342,1.21743,1.223789,1.22868,1738.807
81.14999,2.0342,1.329402,1.358799,1.251541,1.25613,1.264784,1738.513
79.05,2.02126,1.333194,1.356843,1.257447,1.261641,1.267771,1736.438
83.1,2.016882,1.344243,1.358599,1.27202,1.283235,1.292234,1728.235
81.3,2.013191,1.347031,1.365529,1.273015,1.285023,1.290303,1724.685
81.6,2.0303,1.354079,1.3676,1.260977,1.26452,1.269798,1726.069
77.39231,2.037363,1.355719,1.38118,1.258112,1.262857,1.265922,1726.149
76.33832,2.047517,1.345607,1.373971,1.27621,1.285116,1.292878,1726.149
80.23831,2.046031,1.349399,1.373977,1.289258,1.302081,1.310495,1726.149
83.246,2.043398,1.354405,1.381112,1.268812,1.281836,1.286197,1726.626
82.94999,2.049427,1.346908,1.379594,1.262883,1.272501,1.276216,1732.031
79.64999,2.053257,1.361981,1.376214,1.267725,1.275908,1.280053,1737.371
75.29999,2.054787,1.365435,1.390238,1.27223,1.276317,1.28186,1738.549
75.44999,2.042027,1.36663,1.376873,1.271731,1.279896,1.288482,1738.475
78.74999,2.041041,1.365764,1.378094,1.288834,1.296668,1.308447,1736.447
81.59998,2.039148,1.364514,1.374969,1.29556,1.301595,1.314786,1733.666
78.89999,2.042265,1.356878,1.377142,1.289328,1.295147,1.310291,1734.712
77.99999,2.038676,1.357347,1.376807,1.276081,1.284095,1.296432,1735.436
76.27155,2.03573,1.354005,1.382023,1.231629,1.245871,1.261348,1735.054
80.3138,2.016724,1.34407,1.367267,1.222289,1.237519,1.248778,1732.729
77.7638,2.012912,1.343705,1.362685,1.213208,1.222914,1.235556,1733.43
78.14223,2.01504,1.336997,1.361115,1.203414,1.209037,1.215118,1736.468
77.54999,2.01809,1.342503,1.349848,1.218168,1.227361,1.227368,1740.829
78.59268,2.019302,1.340197,1.357678,1.230574,1.237403,1.24534,1747.023
80.83469,2.011897,1.338167,1.353821,1.241994,1.249902,1.257323,1750.719
82.4847,2.01449,1.342517,1.357375,1.24668,1.253851,1.262949,1750.35
82.86701,2.007398,1.335475,1.364833,1.248915,1.251017,1.264415,1746.641
79.725,2.012784,1.327034,1.361027,1.241171,1.246792,1.259283,1744.133
75.675,2.014459,1.326822,1.355223,1.226467,1.242372,1.250162,1741.928
70.94999,2.015198,1.328623,1.359368,1.224695,1.24052,1.248069,1741.69
67.65,2.0198,1.338399,1.350856,1.215803,1.222342,1.223861,1741.305
68.1,2.022537,1.338589,1.364502,1.212608,1.214395,1.210837,1739.643
75.75,2.028869,1.360287,1.363204,1.260481,1.25954,1.259269,1739.802
79.87499,2.034348,1.352152,1.358024,1.312942,1.316522,1.324898,1736.58
77.925,2.058353,1.359277,1.350465,1.326129,1.332186,1.349908,1735.451
73.27499,2.07496,1.351052,1.359153,1.337521,1.350357,1.374602,1735.546
79.05,2.063927,1.348942,1.358217,1.304625,1.322698,1.336968,1739.74
79.64999,2.043406,1.342795,1.354639,1.263759,1.283405,1.300899,1747.483
84.3,2.034909,1.331857,1.357333,1.250796,1.263738,1.279832,1753.776
80.4,2.042849,1.336562,1.345379,1.246078,1.260441,1.275779,1758.04
83.47162,2.046379,1.339475,1.350705,1.261808,1.272882,1.291351,1762.627
82.27162,2.057864,1.332819,1.345052,1.267852,1.281709,1.302343,1763.892
84.37162,2.057455,1.334388,1.350101,1.270514,1.286682,1.298588,1763.925
83.55,2.054525,1.339875,1.355442,1.279545,1.296971,1.311771,1763.438
85.64999,2.032882,1.347031,1.358467,1.279696,1.294444,1.311671,1758.149
82.12499,2.031452,1.353166,1.360548,1.287428,1.299832,1.320038,1749.411
83.47499,2.037309,1.356685,1.367475,1.296402,1.314396,1.33308,1743.19
80.625,2.039154,1.354455,1.355778,1.309974,1.344777,1.362941,1741.311
79.8,2.041505,1.354625,1.366367,1.31131,1.34807,1.373205,1739.203
78,2.039335,1.348639,1.359005,1.300959,1.339658,1.364791,1744.672
79.05,2.047011,1.359406,1.353409,1.301859,1.337695,1.359404,1747.954
80.925,2.042646,1.370562,1.360305,1.34346,1.372725,1.396938,1747.986
80.475,2.043032,1.364524,1.358008,1.370605,1.397831,1.421551,1747.986
77.76776,2.037865,1.393516,1.379793,1.392547,1.415063,1.429763,1748.071
77.39275,2.03764,1.397699,1.385522,1.395382,1.416729,1.438477,1750.434
79.48511,2.03714,1.399364,1.389179,1.408395,1.427112,1.437183,1754.017
79.49234,2.043006,1.403204,1.396267,1.402694,1.41866,1.429755,1757.911
78.8848,2.038232,1.405728,1.401085,1.378707,1.39207,1.400156,1763.827
75.28571,2.033623,1.405485,1.399795,1.367769,1.377754,1.386203,1766.344
72.88571,2.032376,1.401097,1.39723,1.345588,1.355276,1.366238,1764.251
73.56824,2.042282,1.38951,1.40307,1.316674,1.335977,1.350616,1761.15
77.02499,2.045614,1.384097,1.398452,1.300829,1.325989,1.339299,1755.137
80.175,2.039335,1.376449,1.398136,1.267877,1.289499,1.287957,1751.552
78.82499,2.034325,1.370548,1.391558,1.265228,1.28307,1.264334,1751.15
77.02499,2.022941,1.349989,1.391335,1.265644,1.276147,1.267016,1751.15
76.2,2.018301,1.343919,1.377167,1.278002,1.282919,1.277421,1751.236
75.525,2.016422,1.324447,1.370757,1.273404,1.277084,1.279467,1753.608
77.16742,2.029335,1.319878,1.358106,1.202574,1.226673,1.235135,1757.107
76.94242,2.044067,1.314719,1.353383,1.216614,1.229801,1.235515,1757.514
77.84243,2.044415,1.315633,1.353807,1.211791,1.20544,1.198907,1757.514
76.2,2.035008,1.320048,1.351184,1.236692,1.234726,1.236497,1757.428
77.77136,2.018132,1.331706,1.360898,1.268988,1.278721,1.287297,1754.601
75.52136,2.024825,1.328355,1.363696,1.26893,1.281893,1.291925,1747.144
75.06431,2.013112,1.340596,1.382507,1.272744,1.284921,1.297897,1742.122
72.43954,2.016286,1.348333,1.384718,1.27108,1.279969,1.289789,1736.664
71.68954,1.993672,1.350241,1.379031,1.254686,1.266463,1.272482,1735.462
69.14661,1.99027,1.359688,1.381057,1.254226,1.261582,1.270774,1736.627
71.09261,1.996364,1.359047,1.363772,1.26856,1.261324,1.264806,1741.606
73.86024,2.019604,1.367646,1.370078,1.280798,1.277989,1.262369,1744.747
