GR,RHOB,A16L,A40L,P16H,P28H,P40H,Vp
62.01117,1.875639,1.095141,1.1433,1.060192,1.06557,1.069763,1540.908
62.01919,1.878536,1.094543,1.143176,1.056171,1.061014,1.06537,1541.365
62.41799,1.875868,1.095437,1.143352,1.056536,1.060697,1.064377,1541.659
62.81679,1.8732,1.096332,1.143528,1.056901,1.06038,1.063385,1541.75
63.21559,1.870531,1.097227,1.143705,1.057266,1.060063,1.062394,1541.672
63.66559,1.87156,1.096964,1.14247,1.059124,1.062129,1.064826,1541.47
64.11559,1.872588,1.096701,1.141237,1.060985,1.0642,1.067264,1541.147
64.56559,1.873616,1.096438,1.140005,1.06285,1.066275,1.069708,1540.682
64.39153,1.871533,1.097279,1.142053,1.068519,1.072438,1.076871,1540.12
64.21746,1.869449,1.09812,1.144104,1.074218,1.078637,1.084083,1539.591
64.0434,1.867365,1.098963,1.146159,1.079948,1.084872,1.091342,1539.189
62.7956,1.866409,1.099986,1.144695,1.080579,1.08618,1.092785,1538.882
61.5478,1.865454,1.101009,1.143233,1.08121,1.087489,1.09423,1538.579
60.3,1.864498,1.102034,1.141773,1.081842,1.0888,1.095676,1538.281
59.698,1.860508,1.100925,1.143575,1.081422,1.088472,1.095824,1538.067
59.096,1.856519,1.099816,1.145379,1.081003,1.088144,1.095973,1537.984
58.494,1.852529,1.098709,1.147186,1.080583,1.087816,1.096121,1538.014
59.7418,1.850745,1.100474,1.147141,1.07615,1.083084,1.089721,1538.128
60.9896,1.848962,1.102243,1.147096,1.071735,1.078372,1.083359,1538.301
62.2374,1.847178,1.104014,1.147052,1.067338,1.073681,1.077034,1538.496
63.4852,1.846633,1.104228,1.147878,1.067534,1.073889,1.077362,1538.66
64.73299,1.846088,1.104443,1.148705,1.06773,1.074096,1.07769,1538.758
65.9808,1.845543,1.104658,1.149532,1.067925,1.074304,1.078018,1538.787
66.42857,1.85003,1.10518,1.149568,1.068968,1.075002,1.078336,1538.771
66.87635,1.854517,1.105702,1.149603,1.070011,1.075701,1.078655,1538.755
67.32413,1.859005,1.106225,1.149639,1.071055,1.0764,1.078973,1538.808
67.32632,1.86171,1.106694,1.150278,1.075385,1.07941,1.08172,1539.036
67.32853,1.864415,1.107163,1.150917,1.079733,1.082429,1.084473,1539.539
67.33073,1.86712,1.107633,1.151556,1.084099,1.085456,1.087234,1540.318
67.33292,1.869854,1.10802,1.151531,1.08425,1.086452,1.089732,1541.19
67.33512,1.872588,1.108407,1.151506,1.084402,1.087449,1.092236,1541.855
67.33732,1.875322,1.108794,1.151481,1.084553,1.088447,1.094745,1542.04
68.34155,1.871706,1.108856,1.153389,1.087557,1.090759,1.096193,1541.639
69.34577,1.86809,1.108917,1.155299,1.09057,1.093076,1.097643,1540.789
70.35,1.864473,1.108979,1.157212,1.093591,1.095397,1.099095,1539.797
71,1.863163,1.111944,1.157389,1.092567,1.095887,1.100389,1538.956
71.64999,1.861852,1.114917,1.157566,1.091544,1.096377,1.101685,1538.392
72.3,1.860541,1.117899,1.157743,1.090522,1.096868,1.102982,1538.104
72.6,1.863637,1.116613,1.159161,1.091787,1.097324,1.10241,1538.04
72.9,1.866734,1.115328,1.160582,1.093054,1.09778,1.101839,1538.112
73.2,1.869831,1.114045,1.162004,1.094322,1.098236,1.101268,1538.229
72.84773,1.871823,1.114048,1.161778,1.090159,1.094536,1.097942,1538.347
72.49545,1.873815,1.114051,1.161552,1.086012,1.090848,1.094625,1538.472
72.14318,1.875808,1.114053,1.161327,1.081881,1.087173,1.091318,1538.647
71.7909,1.87937,1.115496,1.16367,1.082991,1.088041,1.092827,1538.935
71.43862,1.882933,1.116941,1.166017,1.084103,1.08891,1.094339,1539.41
71.08634,1.886496,1.118388,1.168369,1.085215,1.08978,1.095852,1540.081
70.98634,1.885094,1.116471,1.166835,1.084937,1.090093,1.097797,1540.842
70.88634,1.883691,1.114558,1.165302,1.08466,1.090407,1.099745,1541.537
70.78635,1.882289,1.112648,1.163772,1.084382,1.09072,1.101697,1542.096
69.98862,1.883534,1.116075,1.164539,1.084064,1.091486,1.101323,1542.596
69.1909,1.884779,1.119512,1.165307,1.083747,1.092252,1.10095,1543.121
68.39317,1.886024,1.12296,1.166075,1.083429,1.093019,1.100576,1543.562
68.09544,1.887005,1.122525,1.165651,1.083441,1.092886,1.100459,1543.545
67.79772,1.887986,1.12209,1.165227,1.083452,1.092752,1.100343,1542.649
67.5,1.888966,1.121655,1.164804,1.083464,1.092619,1.100226,1540.848
66.11554,1.883328,1.126553,1.163865,1.086664,1.096348,1.102524,1538.678
64.73109,1.87769,1.131472,1.162927,1.089874,1.10009,1.104826,1536.9
63.34663,1.872052,1.136413,1.161989,1.093094,1.103845,1.107134,1535.99
62.54663,1.860962,1.135486,1.164006,1.09744,1.106903,1.110326,1535.976
61.74663,1.849872,1.134559,1.166025,1.101803,1.10997,1.113527,1536.588
60.94662,1.838781,1.133633,1.168049,1.106184,1.113045,1.116738,1537.445
60.37054,1.827505,1.133657,1.168565,1.103851,1.113512,1.119294,1538.181
59.79446,1.816229,1.13368,1.169082,1.101523,1.113979,1.121856,1538.569
59.21838,1.804952,1.133703,1.169599,1.0992,1.114446,1.124424,1538.576
58.70097,1.79639,1.127993,1.169026,1.095285,1.10854,1.120779,1538.319
58.18354,1.787827,1.122312,1.168454,1.091384,1.102665,1.117146,1537.962
57.66613,1.779264,1.116659,1.167882,1.087497,1.096821,1.113524,1537.674
59.0401,1.781846,1.115583,1.165271,1.092326,1.099212,1.115873,1537.613
60.41407,1.784428,1.114508,1.162665,1.097176,1.101608,1.118227,1537.884
61.78804,1.787009,1.113433,1.160065,1.102048,1.104009,1.120586,1538.458
62.11188,1.794207,1.106495,1.155235,1.092008,1.09852,1.115207,1539.158
62.43572,1.801405,1.0996,1.150426,1.08206,1.093058,1.109853,1539.741
62.75956,1.808602,1.092748,1.145637,1.072202,1.087624,1.104526,1540.026
