Depth (mbsf),GR,RHOB,RES,Vp
48.9204,65.44231,1.855396,1.231555,1576.99
49.0728,66.35126,1.850124,1.207606,1576.056
49.2252,63.11645,1.822238,1.207973,1575.907
49.3776,61.61189,1.827816,1.223395,1577.037
49.53,60.55868,1.829757,1.114012,1580.131
49.6824,62.95947,1.850303,1.134587,1585.655
49.8348,65.96208,1.855272,1.156141,1585.785
49.9872,62.05022,1.869069,1.177219,1580.67
50.1396,61.83106,1.884926,1.14938,1575.681
50.292,60.333,1.846767,1.179315,1574.391
50.4444,68.83379,1.855956,1.087686,1574.625
50.5968,70.63926,1.824736,1.104245,1577.041
50.7492,72.29427,1.829317,1.120004,1580.504
50.9016,69.95548,1.828121,1.108786,1583.868
51.054,67.77068,1.83707,1.13182,1583.792
51.2064,67.46976,1.87983,1.160813,1581.987
51.3588,69.8838,1.85476,1.178864,1580.156
51.5112,69.65468,1.867625,1.150183,1580.296
51.6636,69.57616,1.852101,1.077219,1581.989
51.816,63.70836,1.858699,0.943519,1583.442
51.9684,64.46075,1.868699,1.144673,1583.441
52.1208,62.05392,1.847737,1.199154,1581.475
52.2732,66.2667,1.852218,1.214497,1581.617
52.4256,65.52093,1.858418,1.259262,1585.412
52.578,67.02519,1.857279,1.243114,1586.899
52.7304,66.72427,1.848239,1.286013,1588.587
52.8828,68.52298,1.843123,1.257309,1591.346
53.0352,70.18112,1.848376,1.306585,1590.305
53.1876,68.21883,1.865974,1.268725,1587.666
53.34,70.02386,1.89034,1.1764,1585.772
53.4924,71.44976,1.901863,1.154763,1584.005
53.6448,70.10201,1.884318,1.182552,1581.47
53.7972,69.20648,1.866889,1.184755,1580.266
53.9496,68.30719,1.890824,1.190013,1581.054
54.102,68.90901,1.852415,1.184068,1581.719
54.2544,66.65216,1.857267,1.20384,1582.549
54.4068,64.39532,1.881057,1.18934,1583.258
54.5592,65.59898,1.88648,1.137989,1586.287
54.7116,66.2008,1.885493,1.182542,1590.844
54.864,69.51084,1.865526,1.301291,1592.2
55.0164,69.42916,1.86141,1.316329,1591.279
55.1688,67.77414,1.881572,1.260063,1590.826
55.3212,66.56376,1.872801,1.220223,1591.95
55.4736,65.44179,1.900114,1.183633,1593.066
55.626,66.78939,1.904857,1.177024,1592.054
55.7784,63.02892,1.913122,1.22971,1588.119
55.9308,63.85643,1.889728,1.214418,1586.318
56.0832,65.51795,1.901178,1.208841,1581.196
56.2356,71.24109,1.891434,1.235722,1578.334
56.388,68.30439,1.888827,1.233757,1576.236
56.5404,65.14481,1.882407,1.175373,1574.745
56.6928,63.03841,1.880987,1.157722,1576.072
