Depth (mbsf),GR,Vp,RES,RHOB
49.6824,77.42445,1568.086,1.680734,1.776326
49.8348,78.77095,1571.212,1.524251,1.826324
49.9872,72.95592,1568.086,1.393173,1.866848
50.1396,68.75096,1560.323,1.383077,1.861802
50.292,67.25024,1557.239,1.373054,1.843295
50.4444,69.35663,1551.108,1.382753,1.835476
50.5968,70.10891,1554.167,1.398297,1.855513
50.7492,72.82088,1551.108,1.41073,1.842591
50.9016,74.77681,1554.167,1.423386,1.848106
51.054,73.4227,1560.323,1.420805,1.825334
51.2064,67.55491,1568.086,1.383805,1.846267
51.3588,66.94967,1563.418,1.394991,1.872921
51.5112,65.96831,1557.239,1.440762,1.873354
51.6636,65.51694,1557.239,1.489612,1.866291
51.816,62.71184,1560.323,1.54892,1.863352
51.9684,65.87097,1554.167,1.618166,1.860787
52.1208,67.7701,1560.323,1.580447,1.861395
52.2732,67.939,1560.323,1.544697,1.84883
52.4256,71.02718,1557.239,1.36688,1.847195
52.578,73.48055,1548.061,1.226133,1.848018
52.7304,74.31128,1551.108,1.320637,1.822904
52.8828,73.62641,1551.108,1.447014,1.835828
53.0352,72.8815,1554.167,1.509639,1.837701
53.1876,74.67579,1551.108,1.484344,1.871923
53.34,70.9222,1554.167,1.459892,1.878007
53.4924,71.00082,1563.418,1.477974,1.873697
53.6448,71.76768,1568.086,1.488531,1.887174
53.7972,72.21906,1563.418,1.453808,1.891407
53.9496,71.91814,1560.323,1.448382,1.929684
54.102,66.04433,1554.167,1.436389,1.93106
54.2544,66.57092,1548.061,1.421142,1.896287
54.4068,65.06636,1546.542,1.336328,1.862922
54.5592,66.42043,1543.512,1.29055,1.860816
54.7116,67.47017,1546.542,1.324193,1.86194
54.864,66.94357,1563.418,1.36091,1.851659
55.0164,69.50737,1574.352,1.397448,1.841912
55.1688,68.30016,1577.503,1.379326,1.866037
55.3212,67.54443,1574.352,1.331185,1.927997
55.4736,68.74809,1571.212,1.34157,1.919968
55.626,66.79919,1560.323,1.298173,1.947331
55.7784,70.25949,1563.418,1.350988,1.869024
55.9308,69.34998,1560.323,1.372859,1.885277
56.0832,71.90774,1554.167,1.45684,1.85826
56.2356,70.40681,1560.323,1.414198,1.885482
56.388,70.70765,1577.503,1.495782,1.880316
56.5404,70.47856,1574.352,1.445432,1.895164
56.6928,68.52263,1568.086,1.433274,1.88454
56.8452,67.32582,1563.418,1.567067,1.861357
56.9976,67.99928,1560.323,1.663148,1.835806
57.15,69.79152,1554.167,1.491466,1.843344
57.3024,70.84131,1554.167,1.537148,1.861673
57.4548,70.77309,1560.323,1.444226,1.875163
57.6072,71.46004,1563.418,1.379655,1.873435
57.7596,70.29741,1560.323,1.412144,1.861485
57.912,67.90645,1560.323,1.379145,1.852287
58.0644,66.53059,1571.212,1.415119,1.825892
58.2168,66.03268,1571.212,1.440726,1.833752
58.3692,64.73746,1571.212,1.43104,1.836126
58.5216,65.79066,1568.086,1.429977,1.856326
58.674,66.02526,1574.352,1.405651,1.8858
58.8264,68.57632,1574.352,1.412626,1.878982
58.9788,68.07177,1574.352,1.418829,1.889838
59.1312,67.01857,1574.352,1.407283,1.876317
59.2836,68.97033,1574.352,1.468646,1.898507
59.436,66.93898,1577.503,1.486855,1.890841
59.5884,69.27106,1577.503,1.444448,1.89901
59.7408,67.17553,1577.503,1.497558,1.902309
59.8932,67.85242,1571.212,1.472782,1.888096
60.0456,66.99986,1571.212,1.432364,1.873657
60.198,65.64336,1571.212,1.41284,1.855108
60.3504,67.8033,1574.352,1.395427,1.855187
60.5028,67.78899,1577.503,1.455538,1.86718
60.6552,70.90078,1577.503,1.44457,1.88002
60.8076,68.6628,1580.668,1.486606,1.897848
60.96,66.58974,1580.668,1.53426,1.888211
61.1124,63.98184,1585.438,1.546999,1.900637
61.2648,68.1969,1588.635,1.5715,1.883925
61.4172,69.62907,1591.844,1.612751,1.8898
61.5696,69.05843,1591.844,1.633435,1.894875
61.722,68.68223,1598.302,1.754845,1.922223
61.8744,70.49091,1603.18,1.703513,1.928017
62.0268,71.23708,1603.18,1.822569,1.929412
62.1792,66.46259,1591.844,1.549042,1.925175
62.3316,64.4565,1585.438,1.490312,1.931985
62.484,62.35012,1585.438,1.483518,1.918755
62.6364,65.17268,1585.438,1.460686,1.911431
62.7888,68.23196,1585.438,1.443148,1.909174
62.9412,71.46677,1580.668,1.498037,1.903931
63.0936,73.64839,1577.503,1.499089,1.907786
63.246,74.91984,1577.503,1.47335,1.915083
63.3984,75.31886,1580.668,1.541298,1.920461
63.5508,73.93967,1580.668,1.469799,1.899923
63.7032,70.61198,1580.668,1.471954,1.900762
63.8556,69.96003,1580.668,1.56264,1.897344
64.008,69.75706,1580.668,1.438786,1.909631
64.1604,69.65676,1580.668,1.431788,1.909352
64.3128,70.75993,1585.438,1.646593,1.909345
64.4652,70.15808,1588.635,1.773221,1.914126
